# time ep bcc_intrp hcp_intrp
1.612500000000000000e+01 4.400354119789562368e-03 1.139181281832004526e-04 -2.351564658737160701e-14
1.614000000000000057e+01 4.241118766178192390e-03 1.065596464315274279e-04 -1.916640763606563627e-13
1.615500000000000114e+01 4.297357772366103279e-03 9.304139610365448024e-05 -7.432401912901846613e-13
1.617000000000000171e+01 4.342690874489935071e-03 7.497579647530124610e-05 -9.397989733626889829e-13
1.618499999999999872e+01 4.349770825309767774e-03 5.459937729868840977e-05 -1.121881508565780702e-12
1.619999999999999929e+01 4.100543253010929812e-03 3.449432661318168274e-05 -1.063672402987937752e-12
1.621499999999999986e+01 4.130216862159641344e-03 1.726837735537360742e-05 -6.488876830213609842e-13
1.623000000000000043e+01 4.207725728472250237e-03 5.219679705594281432e-06 -3.353912626159341990e-13
1.624500000000000099e+01 4.377556607257165888e-03 1.337741861802867347e-08 -1.774294247462822426e-13
1.626000000000000156e+01 4.217022563425210091e-03 2.417044289766959896e-06 5.133265167635359746e-14
1.627499999999999858e+01 4.353080704964817915e-03 1.215786131816080218e-05 -5.022757434373835091e-13
1.628999999999999915e+01 4.384387018470908837e-03 2.794608213129987217e-05 -7.571907973776680084e-13
1.630499999999999972e+01 4.109979525688783886e-03 4.765966706961259316e-05 -1.226561561423482058e-12
1.632000000000000028e+01 3.956701295957959497e-03 6.864113493564628378e-05 -1.170384736029847834e-12
1.633500000000000085e+01 3.821284476120928586e-03 8.804985077369785311e-05 -9.865642532224218432e-13
1.635000000000000142e+01 3.956888926739621226e-03 1.032315302681600851e-04 -3.914024458744006259e-13
1.636499999999999844e+01 4.060122673428867568e-03 1.120783806804625691e-04 -6.702034031548012034e-14
1.637999999999999901e+01 4.193955234493562667e-03 1.133401694457306493e-04 -6.974192822923181629e-14
1.639499999999999957e+01 4.378273590175230101e-03 1.068254485764105218e-04 -2.300758073877050097e-13
1.641000000000000014e+01 4.420330268779110172e-03 9.343751775735613353e-05 -6.601505339808057005e-13
1.642500000000000071e+01 4.170942249410336533e-03 7.503345193154307622e-05 -1.077826722413440546e-12
1.644000000000000128e+01 4.186003157386153362e-03 5.414701360991073305e-05 -1.254172415710667293e-12
1.645499999999999829e+01 4.525200636259191223e-03 3.363784998940844438e-05 -1.076539630505343542e-12
1.646999999999999886e+01 4.335723756612563928e-03 1.631528082939390432e-05 -6.007329313038036779e-13
1.648499999999999943e+01 4.186598739838870431e-03 4.565772976802902309e-06 -1.120082667645613171e-13
1.650000000000000000e+01 4.136957114556305548e-03 1.673579950219581617e-08 -7.750141736035828635e-15
1.651500000000000057e+01 4.057265762311829116e-03 3.290593784841845501e-06 -2.316345645346558476e-13
1.653000000000000114e+01 4.125000503515302563e-03 1.390960582186251971e-05 -5.557684325399526899e-13
1.654500000000000171e+01 4.302813623921875053e-03 3.037962870524718020e-05 -1.037514591789971017e-12
1.655999999999999872e+01 4.277905402283871394e-03 5.042654794922751062e-05 -1.165801699714675309e-12
1.657499999999999929e+01 4.364811338660373741e-03 7.132442035497439041e-05 -1.165406295871114304e-12
1.658999999999999986e+01 4.295523508866916362e-03 9.025897563598098269e-05 -6.425798656515254139e-13
1.660500000000000043e+01 3.980541284677258096e-03 1.046924179820666489e-04 -1.621206074233318604e-13
1.662000000000000099e+01 4.164649655396090999e-03 1.127023759631407256e-04 1.591680780284301911e-13
1.663500000000000156e+01 4.471638398122451674e-03 1.132516881949210708e-04 9.702907832394870284e-14
1.664999999999999858e+01 4.220120282858536020e-03 1.063315058285931454e-04 -4.084975884610043366e-13
1.666499999999999915e+01 4.196212848199210033e-03 9.293841523525503119e-05 -9.000674355537815009e-13
1.667999999999999972e+01 4.235268164611394326e-03 7.489540306984649549e-05 -1.208708487903668725e-12
1.669500000000000028e+01 4.424126135501776913e-03 5.457003886834457226e-05 -1.334420745510665958e-12
1.671000000000000085e+01 4.460488762954933906e-03 3.455077808961215671e-05 -8.793002763491170960e-13
1.672500000000000142e+01 4.524291576006533866e-03 1.732188685921963987e-05 -4.675858335334371767e-13
1.673999999999999844e+01 4.411769978891921795e-03 4.960718102375974649e-06 -1.008356985953359142e-13
