# theta phi
-5.563921758787775218e+01 1.244750956832725990e+02
1.447535023148105608e+02 1.203261246139772709e+02
-1.246210316185650129e+02 5.869496926895429567e+01
-3.712724765365254598e+01 1.225083811244409588e+02
-1.479952575771539500e+02 1.206568695936548323e+02
-1.454502404799310682e+02 1.214235035628237682e+02
-4.759630639751151193e+01 5.947837914419179839e+01
1.430348343622409288e+02 5.637549420166680392e+01
1.512012350476677796e+02 1.234960622057724180e+02
3.635843816052215516e+01 1.245626143886173480e+02
1.497397856486733190e+02 1.203541420184410384e+02
3.115379974482084435e+01 5.552809017690111659e+01
1.332774718199202653e+02 5.599134128977168245e+01
-1.422754282121231029e+02 1.248669448395112340e+02
-1.264547266391032139e+02 1.263085367391671809e+02
-1.310523696042038750e+02 1.233339430869690716e+02
5.323041055702461222e+01 5.348164602751060670e+01
4.685343913318838105e+01 5.577934500502141901e+01
1.238107627814194132e+02 1.211614836389443894e+02
3.957701222213948000e+01 1.195352481790271355e+02
-1.271178109981446767e+02 1.199934930837772100e+02
-1.453879196732025605e+02 1.228100524878332607e+02
-1.448239886283128328e+02 1.251676660083121249e+02
-1.497999451663411321e+02 1.204573833206350315e+02
-5.474272484776359704e+01 6.133765661517429635e+01
-1.256809074119814369e+02 5.658318424782763145e+01
-1.263474921253915539e+02 1.228472657671925106e+02
-5.245986400049133636e+01 5.470398982994228732e+01
1.163520208110245591e+02 1.784521987946667423e+02
5.283716999812128279e+01 1.265877365558085330e+02
-5.254177892458285015e+01 1.217905540914249229e+02
-1.458443441718280269e+02 5.801358085707057199e+01
-1.313184810530581785e+02 1.221711068984595414e+02
5.243539218161667037e+01 1.186498684291501178e+02
5.782261565287988958e+01 5.597214887939850314e+01
-1.307665569013794880e+02 1.220368404192534797e+02
1.497553114579389728e+02 1.233201996002582064e+02
-3.542778417431302529e+01 5.796141830025403863e+01
-1.489466859676926163e+02 1.218669684744627091e+02
6.304474538111054471e+01 1.171029667290774086e+02
1.203030202225550482e+02 5.947610073957427090e+01
3.589006571503062304e+01 5.733320054359535334e+01
1.497015006644274990e+02 1.234186010039862538e+02
5.433839168060494274e+01 5.075750114762337262e+01
1.189939544336477297e+02 5.646253815657649966e+01
-1.466125282292402972e+02 6.143633170880522698e+01
1.451774313473411837e+02 1.219938341267594950e+02
1.100520759634906796e+02 1.232260202480096325e+02
-1.260010754231022929e+02 1.196235701035042922e+02
-3.066689115904902252e+01 6.132068260321213415e+01
3.523270802755566677e+01 5.649305624003834225e+01
1.243607824121222762e+02 5.552490431672740812e+01
-3.524649768518945336e+01 5.967387538602273622e+01
5.537896838143499423e+01 1.213050307310457043e+02
1.428727523463474540e+02 5.749161887555905537e+01
3.200474242284604287e+01 5.934313040634516767e+01
3.454975952006895312e+01 5.857649643717624599e+01
1.324036936024885165e+02 1.205216208558082087e+02
-3.696516563775908537e+01 1.236245057983331890e+02
-2.879876495233221689e+01 5.650393779422757490e+01
-1.436415618394778448e+02 5.543738561138267329e+01
-3.026021435132670234e+01 5.964585798155894736e+01
-1.488462002551791556e+02 1.244719098230988976e+02
-4.672252818007975605e+01 1.240086587102283318e+02
3.772457178787691134e+01 5.513305516048878729e+01
5.354527336089678613e+01 5.369146326083281195e+01
4.894763039579612496e+01 5.666605691303092129e+01
-1.472596400915278991e+02 1.216346672674752654e+02
-1.416184120181420667e+02 1.244490362354465418e+02
-1.363147582919145577e+02 1.199979073371982139e+02
-3.988474995029352499e+01 1.240363596095810550e+02
-1.304590988345892981e+02 5.739118649796510852e+01
-1.310072923275523351e+02 5.936652134387318114e+01
-3.740458665401781246e+01 1.240253828335281696e+02
4.085384854210455785e+01 1.232833760132918854e+02
-2.387763383743515533e+01 6.014844478545693107e+01
1.253523487889090688e+02 1.213462727142402002e+02
5.297349758660311636e+01 5.904519104112463168e+01
-1.237805387855340342e+02 1.244367421779952139e+02
-1.428759153244769209e+02 1.182274144289918496e+02
3.830374208433386229e+01 5.860893491854046999e+01
-1.459519036500561526e+02 1.234644001920380134e+02
4.619495647129943450e+01 6.409140796411304564e+01
-1.397510901750851247e+02 1.232233721137255316e+02
4.397274882782442518e+01 5.758555922915542880e+01
1.245335003123311566e+02 1.236937360648482809e+02
-1.187072809401934421e+02 1.238374864904260022e+02
-1.228300108532904176e+02 1.235714748609316729e+02
