# rg size
7.937232357524802717e-01 2.000000000000000000e+00
1.089276660704316235e+01 7.000000000000000000e+00
1.125934833705016347e+00 4.000000000000000000e+00
1.087081964748881191e+00 3.000000000000000000e+00
7.948847159599145007e-01 2.000000000000000000e+00
7.485538925871357385e+00 2.200000000000000000e+01
7.361054000393020269e-01 2.000000000000000000e+00
1.196737354759045324e+01 2.000000000000000000e+00
7.135294622398729025e-01 2.000000000000000000e+00
7.820324705537065046e-01 2.000000000000000000e+00
7.199651408229342797e-01 2.000000000000000000e+00
6.801776340291304512e-01 2.000000000000000000e+00
7.272037651168582473e-01 2.000000000000000000e+00
7.910647445060726701e-01 2.000000000000000000e+00
7.192936538716352413e-01 2.000000000000000000e+00
9.813975290379288730e-01 4.000000000000000000e+00
8.451785525143037381e-01 3.000000000000000000e+00
1.548493556138211957e+01 8.000000000000000000e+00
1.205877756517578270e+01 5.000000000000000000e+00
6.634836056628394818e-01 2.000000000000000000e+00
9.063793944734631625e-01 3.000000000000000000e+00
1.399124562619872059e+00 9.000000000000000000e+00
8.196585074285713812e-01 2.000000000000000000e+00
1.133680793057848302e+00 6.000000000000000000e+00
1.132347812106530682e+01 3.000000000000000000e+00
1.461298874657338320e+00 5.000000000000000000e+00
8.593539991051054594e-01 3.000000000000000000e+00
7.460352288375865504e-01 2.000000000000000000e+00
7.184950457031894500e-01 2.000000000000000000e+00
7.097478780057280279e-01 2.000000000000000000e+00
8.155275904999783609e-01 2.000000000000000000e+00
1.201954835178719705e+01 2.000000000000000000e+00
7.241720937274362946e-01 2.000000000000000000e+00
7.621783436748059692e-01 2.000000000000000000e+00
1.183959111111469342e+00 4.000000000000000000e+00
1.000777004687869232e+00 3.000000000000000000e+00
9.271647315382929300e-01 4.000000000000000000e+00
9.669458536546556848e-01 3.000000000000000000e+00
1.144546624557968961e+00 5.000000000000000000e+00
7.233718133390130145e-01 2.000000000000000000e+00
6.925196654249252681e-01 2.000000000000000000e+00
1.456277525855671495e+00 5.000000000000000000e+00
1.153463840912261507e+00 4.000000000000000000e+00
1.169396709582662908e+01 1.000000000000000000e+01
1.253791312276917091e+00 3.000000000000000000e+00
1.062777737488226348e+00 4.000000000000000000e+00
1.164385258759156550e+00 3.000000000000000000e+00
1.559368169484129485e+00 4.000000000000000000e+00
1.032578789951974496e+00 4.000000000000000000e+00
8.245144204321437353e-01 2.000000000000000000e+00
9.684011515748635057e-01 3.000000000000000000e+00
7.617086555897187861e-01 2.000000000000000000e+00
1.078070555649955464e+00 4.000000000000000000e+00
7.340751784842779459e-01 2.000000000000000000e+00
7.648631761956093955e-01 2.000000000000000000e+00
7.963438221543224227e-01 2.000000000000000000e+00
1.210574576395027435e+01 2.000000000000000000e+00
1.192534226154957544e+01 2.000000000000000000e+00
8.250738350484251304e-01 3.000000000000000000e+00
