# rg size
8.385523950149251782e-01 3.000000000000000000e+00
1.470948433834883495e+00 6.000000000000000000e+00
7.993148137512039453e-01 3.000000000000000000e+00
2.068354391118763402e+00 1.600000000000000000e+01
1.731085071216373672e+00 7.000000000000000000e+00
1.289692031980589793e+00 8.000000000000000000e+00
1.288372112603246356e+00 5.000000000000000000e+00
8.619159273560280665e-01 3.000000000000000000e+00
1.229311338104410067e+00 4.000000000000000000e+00
1.229977701339437735e+00 4.000000000000000000e+00
1.731360971366423085e+00 7.000000000000000000e+00
8.339917090915711650e-01 2.000000000000000000e+00
7.272337488089297697e-01 2.000000000000000000e+00
1.081681290371997228e+00 3.000000000000000000e+00
1.917889438612317532e+00 1.700000000000000000e+01
1.081009245823401077e+00 3.000000000000000000e+00
8.458072304587528345e-01 3.000000000000000000e+00
2.068400116868370553e+00 1.600000000000000000e+01
7.307700582263838562e-01 2.000000000000000000e+00
9.961285084166831005e-01 5.000000000000000000e+00
9.925158581438177086e-01 4.000000000000000000e+00
1.048367451205424850e+00 5.000000000000000000e+00
1.254412091859790301e+00 6.000000000000000000e+00
1.237542999829506218e+00 5.000000000000000000e+00
7.032606368434854982e-01 2.000000000000000000e+00
1.383557184877364454e+00 4.000000000000000000e+00
1.296223325794703340e+00 6.000000000000000000e+00
1.223581778002269749e+00 4.000000000000000000e+00
1.085090781906240309e+00 3.000000000000000000e+00
7.711779843206890694e-01 2.000000000000000000e+00
1.258071870510852008e+00 6.000000000000000000e+00
6.898490603027527257e-01 2.000000000000000000e+00
9.697232191222516784e-01 3.000000000000000000e+00
2.475903154337159684e+00 2.900000000000000000e+01
1.325008324536444348e+00 5.000000000000000000e+00
1.077713937719845694e+00 3.000000000000000000e+00
1.338101731665863436e+00 6.000000000000000000e+00
7.952976304823087261e-01 2.000000000000000000e+00
1.182611459237754348e+00 5.000000000000000000e+00
1.380581893377398561e+00 9.000000000000000000e+00
9.996333154382518460e-01 5.000000000000000000e+00
8.428419394019396327e-01 3.000000000000000000e+00
2.059280690442204520e+00 1.300000000000000000e+01
8.380335110775176677e-01 3.000000000000000000e+00
7.078110110764168628e-01 2.000000000000000000e+00
2.495920993738971028e+00 2.800000000000000000e+01
1.053068775076783981e+00 4.000000000000000000e+00
1.295641999180830117e+00 7.000000000000000000e+00
1.556174803420271369e+00 4.000000000000000000e+00
1.042474098082863510e+00 5.000000000000000000e+00
7.994635138643174654e-01 2.000000000000000000e+00
7.491883758443889096e-01 2.000000000000000000e+00
1.325275511451859067e+00 5.000000000000000000e+00
8.097121610658666313e-01 3.000000000000000000e+00
1.358307831451247560e+00 6.000000000000000000e+00
1.499651482443055128e+00 7.000000000000000000e+00
2.176153866324232578e+00 1.100000000000000000e+01
1.243525658821858837e+00 3.000000000000000000e+00
7.851702610479462940e-01 2.000000000000000000e+00
1.764088821478842828e+00 9.000000000000000000e+00
6.643536497985098599e-01 2.000000000000000000e+00
1.413336867426444821e+00 5.000000000000000000e+00
7.819708803083900150e-01 2.000000000000000000e+00
1.180643794715719119e+00 4.000000000000000000e+00
8.229773148959660389e-01 2.000000000000000000e+00
1.283305250693856703e+00 4.000000000000000000e+00
2.455746084184507350e+00 3.000000000000000000e+01
1.336868574835420542e+00 6.000000000000000000e+00
7.507604252582478210e-01 2.000000000000000000e+00
1.310418671133902535e+00 6.000000000000000000e+00
6.984477919167880744e-01 2.000000000000000000e+00
1.271324612143417854e+00 4.000000000000000000e+00
7.298593142974326708e-01 2.000000000000000000e+00
1.283584527927104313e+00 4.000000000000000000e+00
7.041546541778174184e-01 2.000000000000000000e+00
1.943111462062079076e+00 1.400000000000000000e+01
7.455486067655652249e-01 2.000000000000000000e+00
1.163483078017811145e+00 6.000000000000000000e+00
1.007571754820344001e+00 3.000000000000000000e+00
1.380821997690831138e+00 5.000000000000000000e+00
7.135601931080552962e-01 2.000000000000000000e+00
2.155165739842713535e+00 1.900000000000000000e+01
1.831537657802710273e+00 5.000000000000000000e+00
1.423725724829189465e+00 1.000000000000000000e+01
2.455571425967770782e+00 3.000000000000000000e+01
9.269594874508847449e-01 4.000000000000000000e+00
1.689645625948527519e+00 1.000000000000000000e+01
7.991664799444786471e-01 2.000000000000000000e+00
7.457605019934384627e-01 2.000000000000000000e+00
8.264681635329418352e-01 2.000000000000000000e+00
8.680104165081983236e-01 2.000000000000000000e+00
1.230770635607033592e+00 5.000000000000000000e+00
1.155669096847212085e+00 3.000000000000000000e+00
1.310776873510713481e+00 6.000000000000000000e+00
7.644660828534858288e-01 2.000000000000000000e+00
6.993393926895370427e-01 2.000000000000000000e+00
1.685360912582277493e+00 7.000000000000000000e+00
7.499443499356264198e-01 2.000000000000000000e+00
1.419877183458879033e+00 5.000000000000000000e+00
1.017560784971225818e+00 3.000000000000000000e+00
1.072826363281019546e+00 4.000000000000000000e+00
1.656362329020127477e+00 9.000000000000000000e+00
7.518995957133896013e-01 2.000000000000000000e+00
1.179938174016160968e+00 4.000000000000000000e+00
7.126278196114071983e-01 2.000000000000000000e+00
1.223573102322401684e+00 3.000000000000000000e+00
1.188293073930116961e+00 4.000000000000000000e+00
1.641479966347457076e+00 5.000000000000000000e+00
1.253409052890273045e+00 5.000000000000000000e+00
1.136579427525550079e+00 3.000000000000000000e+00
2.465055793557797248e+00 3.200000000000000000e+01
1.998467270711948629e+00 5.000000000000000000e+00
8.160445790430332913e-01 3.000000000000000000e+00
7.225926526981975018e-01 2.000000000000000000e+00
1.370159258902955646e+00 5.000000000000000000e+00
1.288806823854100836e+00 4.000000000000000000e+00
7.327866332137149552e-01 2.000000000000000000e+00
1.136756706665383643e+00 3.000000000000000000e+00
1.205557542331012533e+00 4.000000000000000000e+00
1.914109089653394991e+00 1.500000000000000000e+01
6.668217657416756206e-01 2.000000000000000000e+00
1.590965571615431839e+00 7.000000000000000000e+00
7.142826872699427065e-01 2.000000000000000000e+00
7.247426838311817887e-01 2.000000000000000000e+00
7.373714431456538376e-01 2.000000000000000000e+00
7.323552141892545331e-01 2.000000000000000000e+00
1.320335280125096045e+00 5.000000000000000000e+00
1.793043167992297793e+00 1.300000000000000000e+01
9.339061820583199891e-01 3.000000000000000000e+00
7.222775527686200459e-01 2.000000000000000000e+00
1.203409825165169034e+00 5.000000000000000000e+00
1.495202664446602325e+00 1.200000000000000000e+01
2.465123738165257983e+00 3.200000000000000000e+01
1.445512337416807069e+00 6.000000000000000000e+00
1.129563019383856837e+00 6.000000000000000000e+00
1.976986036366205068e+00 1.000000000000000000e+01
1.998644541343031378e+00 5.000000000000000000e+00
1.135624158295350128e+00 3.000000000000000000e+00
1.214636563080101039e+00 3.000000000000000000e+00
1.912088608857309247e+00 1.000000000000000000e+01
1.541007488652833546e+00 4.000000000000000000e+00
1.370142544224512315e+00 5.000000000000000000e+00
1.288833110867107390e+00 4.000000000000000000e+00
2.402239279115525150e+00 8.000000000000000000e+00
1.074389052016442081e+00 6.000000000000000000e+00
7.969313225675638268e-01 3.000000000000000000e+00
1.707481283959148888e+00 9.000000000000000000e+00
1.408697551799345415e+00 6.000000000000000000e+00
8.163821011840569630e-01 3.000000000000000000e+00
7.182265790359733115e-01 2.000000000000000000e+00
7.679951314949948760e-01 2.000000000000000000e+00
7.840972435867218371e-01 2.000000000000000000e+00
7.344100691485764276e-01 2.000000000000000000e+00
1.122282672090555433e+00 3.000000000000000000e+00
9.109823053130263748e-01 3.000000000000000000e+00
2.715962021305866170e+00 3.500000000000000000e+01
1.385676866972721077e+00 6.000000000000000000e+00
1.878170178864245088e+00 8.000000000000000000e+00
1.151839364247262187e+00 5.000000000000000000e+00
7.848742864838007538e-01 2.000000000000000000e+00
1.227919221403237282e+00 7.000000000000000000e+00
