#grain_i_ID grain_j_ID phi1 Phi phi2 angle
61 122 1.444777e+02 1.414564e+02 1.736486e+01 5.301203e+01
62 142 1.532809e+02 4.789997e+01 2.436497e+02 5.981105e+01
62 166 1.565250e+02 8.812691e+01 2.060952e+02 3.472499e+01
63 93 7.984800e+01 1.820797e+01 2.133208e+02 2.939022e+01
64 93 8.699367e+01 2.374935e+01 2.587973e+02 2.762293e+01
64 122 3.004404e+01 1.321545e+02 6.392695e+01 5.804617e+01
65 74 9.555123e+01 1.383955e+02 6.213745e+00 4.160958e+01
65 166 1.799031e+01 1.330307e+02 1.484714e+02 5.937539e+01
66 70 1.359519e+02 1.264169e+02 3.154114e+02 5.358558e+01
66 74 2.876912e+02 3.281378e+01 2.216014e+02 4.465027e+01
66 80 1.036127e+02 3.675377e+01 2.274059e+02 4.649343e+01
67 68 1.648824e+02 2.833694e+01 2.567521e+02 3.988799e+01
67 100 6.300847e+01 1.316629e+02 2.561609e+01 5.958938e+01
67 202 9.820462e+01 4.781098e+01 2.525213e+02 4.505217e+01
68 100 2.709657e+01 1.311516e+02 6.370536e+01 5.964441e+01
68 202 8.159773e+00 4.308522e+01 2.921712e+02 5.227180e+01
68 326 9.784616e+01 2.748275e+01 2.685123e+02 2.819491e+01
69 85 4.515771e+01 1.093003e+02 1.351470e+02 5.982392e+01
69 95 2.060622e+02 5.624955e+01 2.264120e+02 5.426329e+01
69 132 8.517130e+01 1.250963e+02 1.324960e+02 5.592466e+01
70 74 1.914453e+02 1.520108e+02 1.673212e+02 3.679286e+01
70 75 7.800157e+01 6.035480e+01 1.387475e+02 5.415792e+01
70 80 2.433030e+02 9.394551e+01 2.184370e+01 3.516327e+01
70 86 2.437548e+02 9.339941e+01 2.109696e+01 3.420735e+01
71 72 3.154753e+02 1.091189e+02 2.254136e+02 5.948556e+01
71 117 1.466502e+02 1.310701e+02 1.433792e+02 4.903238e+01
71 135 1.510626e+02 1.042347e+02 1.675051e+02 3.313448e+01
72 76 1.353019e+02 7.111371e+01 4.490848e+01 5.977403e+01
72 77 1.349777e+02 7.076645e+01 4.508877e+01 5.993615e+01
72 135 1.087592e+02 1.432842e+02 3.223755e+02 4.938567e+01
73 74 2.681986e+02 3.340979e+01 9.930717e+01 3.421907e+01
73 86 3.185309e+02 9.086861e+01 2.511202e+02 4.526873e+01
73 166 2.903233e+02 8.249020e+01 2.884175e+02 2.920724e+01
74 80 3.157946e+02 6.951734e+01 2.250479e+02 5.958568e+01
74 86 3.155827e+02 7.019701e+01 2.243452e+02 5.928938e+01
74 166 2.889506e+02 5.206242e+01 2.731728e+02 4.283184e+01
75 79 3.471585e+02 1.623977e+02 3.388685e+02 1.944280e+01
75 80 1.002409e+01 1.507744e+02 3.549935e+02 3.278910e+01
75 86 1.134160e+01 1.504845e+02 3.553661e+02 3.347692e+01
76 135 2.990898e+02 7.572564e+01 3.482420e+02 3.309033e+01
77 87 6.287652e+01 1.317715e+02 2.062585e+02 5.988507e+01
77 135 2.991136e+02 7.597567e+01 3.478400e+02 3.312655e+01
78 87 2.826587e+02 5.906377e+01 2.451261e+02 3.930215e+01
78 139 3.359795e+02 1.453155e+02 2.119683e+02 4.820816e+01
78 144 2.097417e+02 8.163405e+01 3.481785e+02 3.221816e+01
79 80 1.521289e+02 1.455861e+01 2.028634e+02 1.539141e+01
79 86 1.504368e+02 1.511885e+01 2.037234e+02 1.620139e+01
79 211 7.049149e+01 4.964401e+01 2.233466e+02 5.474193e+01
80 211 6.292638e+01 4.911052e+01 2.425532e+02 5.993446e+01
81 211 1.877793e+02 6.337186e+01 6.281089e+01 3.734937e+01
82 96 3.209433e+02 6.176880e+01 3.903706e+01 5.457159e+01
82 117 3.096724e+02 7.391238e+01 4.640878e+01 5.611905e+01
82 164 9.903157e+01 7.162813e+01 2.000788e+02 2.958746e+01
83 98 2.820396e+02 2.162774e+01 1.162397e+02 4.376638e+01
83 118 1.536887e+02 4.776065e+01 3.336638e+02 5.994987e+01
84 92 3.146431e+02 1.096865e+02 2.248529e+02 5.971038e+01
84 326 5.653497e+01 4.592186e+01 2.990542e+02 4.612178e+01
85 90 1.861554e+02 5.759026e+01 4.066533e+01 5.325698e+01
85 95 3.590684e+02 1.576963e+02 1.719674e+02 2.339324e+01
85 161 1.779172e+02 1.682474e+02 3.476610e+01 3.861565e+01
86 166 1.806511e+00 2.935487e+01 3.381873e+01 4.585634e+01
86 211 6.319053e+01 4.871370e+01 2.433316e+02 5.979692e+01
87 97 3.793140e+01 9.142858e+01 3.394302e+02 4.321696e+01
87 135 7.621740e+01 1.243028e+02 1.192003e+02 4.924466e+01
87 139 1.422841e+02 9.753721e+01 1.680289e+02 3.944306e+01
88 91 1.604985e+02 2.043524e+01 1.589948e+02 4.517540e+01
88 93 7.508000e+01 1.085851e+02 9.419388e+01 2.457005e+01
88 257 1.046905e+02 1.451840e+02 1.679918e+02 4.362143e+01
89 211 2.444458e+02 4.654167e+01 1.506113e+02 5.767477e+01
90 95 3.239563e+02 1.444714e+02 2.292823e+00 5.180951e+01
90 161 3.175460e+02 1.107659e+02 4.219952e+01 6.001338e+01
91 93 1.219216e+02 1.057964e+02 1.153980e+02 4.078082e+01
91 257 1.622020e+02 1.310941e+02 1.905247e+02 4.723685e+01
92 161 5.985447e+01 1.348602e+02 1.226217e+02 5.234807e+01
92 169 3.143974e+02 1.076370e+02 2.552038e+02 4.870557e+01
92 326 2.658685e+02 1.119455e+02 2.024275e+02 3.210231e+01
93 122 5.706434e+01 1.168380e+02 8.615662e+01 4.171159e+01
93 132 2.135654e+01 1.164466e+02 7.116715e+01 4.095707e+01
93 257 2.902729e+02 4.293267e+01 1.245533e+02 5.496928e+01
94 117 4.168881e+01 1.440251e+02 2.235585e+02 3.602188e+01
94 133 2.949871e+02 4.734527e+01 2.986575e+02 5.904840e+01
95 132 6.280039e+01 1.319666e+02 2.061603e+02 5.974631e+01
95 161 1.884514e+02 3.405471e+01 2.155463e+02 5.511474e+01
96 110 3.699735e+01 1.386553e+02 6.622579e+01 5.026067e+01
96 128 3.478590e+02 9.654631e+01 6.785207e+01 2.544676e+01
96 164 9.494322e+01 1.182385e+02 1.581635e+02 3.662497e+01
96 174 1.277742e+02 1.450587e+02 2.599071e+00 4.918694e+01
96 211 2.766580e+02 7.727445e+01 2.431912e+02 2.968820e+01
97 135 6.365514e+01 4.852798e+01 6.344377e+01 5.960598e+01
97 139 1.024366e+02 1.040283e+02 7.464768e+01 2.512046e+01
98 100 6.308244e+01 1.317292e+02 2.552605e+01 5.954671e+01
98 118 1.044692e+02 6.289692e+01 3.526113e+02 3.070412e+01
98 218 5.989641e+01 6.940353e+01 2.214373e+02 5.032305e+01
99 101 3.589669e+02 4.266027e+01 3.165583e+02 6.086682e+01
99 257 1.248815e+02 1.287987e+02 1.918959e+02 5.026304e+01
100 103 1.781377e+02 9.003910e+01 4.455580e+01 4.459337e+01
100 202 1.291025e+02 8.966171e+01 9.802706e+01 3.991090e+01
100 218 1.578396e+02 6.239551e+01 3.875459e+01 4.780115e+01
100 226 1.310463e+02 1.542414e+02 2.116450e+02 2.739334e+01
100 326 8.673271e+01 1.179842e+02 1.421218e+02 4.624611e+01
101 257 1.254670e+02 1.404052e+02 1.324560e+02 4.018254e+01
102 117 3.419613e+02 1.060239e+02 2.861894e+01 3.913343e+01
102 133 1.225498e+02 1.015192e+02 1.936323e+02 3.577195e+01
102 151 1.510823e+02 1.253960e+02 3.134782e+02 5.716332e+01
103 218 1.689739e+02 3.381692e+01 1.801954e+02 3.546071e+01
103 226 2.959756e+02 7.275311e+01 2.617236e+02 3.113183e+01
104 108 3.202459e+02 1.058407e+02 4.424355e+01 5.757938e+01
104 226 2.502180e+02 7.325277e+01 2.636565e+02 2.729916e+01
105 109 2.689820e+02 5.961157e+01 3.598455e+02 3.040683e+01
105 132 3.480399e+02 4.220961e+01 2.562727e+01 4.427086e+01
105 161 2.300518e+02 1.487034e+02 4.508816e+01 3.167804e+01
106 117 3.295225e+02 1.564937e+02 3.155859e+02 2.727706e+01
106 133 1.618864e+02 7.056644e+01 2.557981e+02 3.143223e+01
107 117 1.436598e+01 1.506394e+02 8.203792e+01 3.673696e+01
107 133 1.127901e+02 4.444605e+01 2.082260e+02 5.846055e+01
108 113 3.103342e+02 5.670961e+01 2.260683e+02 5.681414e+01
108 226 2.035998e+02 7.634948e+01 1.515150e+01 3.242075e+01
109 115 1.406065e+02 8.041176e+01 3.251230e+02 5.509343e+01
109 132 1.312046e+02 6.100757e+01 3.100985e+02 6.052584e+01
109 161 3.410332e+02 9.479946e+01 7.804127e+01 2.247631e+01
110 164 2.672324e+01 4.838871e+01 2.665305e+01 5.998847e+01
110 174 3.400705e+02 5.238960e+01 2.390913e+02 5.580009e+01
111 112 1.880499e+02 7.208370e+01 1.333645e+02 4.854223e+01
111 116 1.196658e+02 6.797231e+01 1.872815e+02 3.858275e+01
111 133 1.108507e+02 1.131517e+02 1.804197e+02 3.100718e+01
111 151 1.378265e+02 1.415569e+02 3.055274e+02 4.029165e+01
112 133 1.626078e+02 8.581985e+01 2.489065e+02 2.806970e+01
112 151 1.977921e+02 8.209370e+01 3.531136e+02 2.021446e+01
113 119 3.101204e+02 5.530689e+01 2.312378e+02 5.532225e+01
113 226 2.327449e+01 9.598976e+01 6.875144e+01 3.276661e+01
114 115 2.017431e+02 1.688191e+02 8.315535e+01 3.065393e+01
114 120 9.784033e+01 1.252080e+02 1.488427e+02 4.886438e+01
114 161 1.088695e+01 3.170120e+01 3.276940e+02 3.810449e+01
115 161 2.930155e+02 1.591837e+02 1.535926e+02 4.540392e+01
116 151 1.842759e+02 7.529223e+01 2.881467e+02 2.411969e+01
117 123 2.036411e+01 1.305941e+02 1.571643e+02 5.356404e+01
117 133 2.858125e+01 1.322608e+02 6.917183e+01 5.839945e+01
117 135 2.720212e+01 2.710905e+01 3.548177e+02 3.479469e+01
117 151 3.425714e+02 1.275553e+02 1.467060e+02 4.882501e+01
117 164 9.115949e+01 1.342037e+02 1.569919e+02 4.978540e+01
118 140 2.549741e+02 1.088279e+02 2.097856e+02 3.999348e+01
118 218 2.765731e+02 4.107317e+01 2.934041e+02 5.046432e+01
119 226 2.040549e+02 7.977110e+01 1.565583e+01 3.146153e+01
120 125 3.033375e+02 8.120775e+01 2.868694e+02 3.935451e+01
120 161 6.757611e+01 1.178855e+02 8.031107e+01 3.543465e+01
121 132 1.911159e+02 1.230954e+02 1.891392e+02 3.518077e+01
121 257 2.923440e+01 1.250903e+02 6.862677e+01 5.361932e+01
122 156 3.558414e+02 3.974403e+01 3.182151e+02 5.866296e+01
122 257 1.431468e+02 1.339907e+02 2.078687e+02 5.216337e+01
123 151 1.193176e+02 2.927077e+01 2.545840e+02 3.233894e+01
123 164 2.637885e+02 5.074816e+01 4.481401e+01 5.756619e+01
124 135 9.787436e+01 1.134856e+02 1.872978e+02 2.532946e+01
124 139 1.153473e+02 4.948189e+01 2.062061e+02 5.809289e+01
125 161 1.352732e+02 1.242604e+02 3.416153e+02 5.417386e+01
126 257 2.928378e+01 1.250312e+02 6.858697e+01 5.362949e+01
127 211 2.959601e+02 1.036229e+02 2.598190e+02 3.194642e+01
128 174 3.152546e+02 1.099917e+02 2.255008e+02 5.956905e+01
129 133 2.433292e+01 1.322365e+02 5.976775e+01 5.884691e+01
129 151 3.411778e+02 1.226488e+02 1.406705e+02 4.980718e+01
130 136 2.020648e+00 9.238829e+01 2.272635e+02 4.288750e+01
130 218 2.308920e+02 1.349183e+02 3.512866e+02 5.392414e+01
130 226 1.148447e+02 1.082962e+02 9.489430e+01 3.051718e+01
131 137 2.835174e+02 1.222658e+02 2.301438e+02 5.533017e+01
131 161 1.199285e+02 6.453230e+01 1.812549e+02 3.934035e+01
132 141 1.231185e+02 3.943244e+01 2.197640e+02 4.285149e+01
132 154 7.194888e+01 1.656794e+02 3.091154e+02 3.574168e+01
132 161 2.849982e+02 1.428157e+02 1.240849e+02 4.164218e+01
132 198 7.066727e+01 6.602114e+01 2.896866e+02 3.409371e+01
132 257 1.551767e+02 1.097313e+02 2.325586e+02 4.523256e+01
133 134 1.392628e+02 1.476550e+02 3.345224e+02 3.567673e+01
133 135 1.114792e+02 1.051576e+02 1.737602e+02 2.760658e+01
133 151 2.088933e+02 3.517393e+01 2.591396e+02 3.939666e+01
133 231 3.325608e+02 9.256435e+01 5.874704e+01 4.097256e+01
134 135 2.432050e+02 4.733010e+01 3.339334e+02 5.949389e+01
134 231 1.026992e+01 1.188389e+02 2.306711e+02 5.145861e+01
135 138 3.172009e+02 3.223160e+01 2.322242e+02 3.354628e+01
135 139 3.382375e+02 6.603725e+01 4.374525e+01 5.006297e+01
135 231 1.163278e+02 1.356534e+02 1.735984e+02 5.396886e+01
136 218 9.639093e+01 1.158448e+02 1.145435e+02 3.505526e+01
136 226 2.021323e+02 1.107868e+02 3.549635e+02 3.133297e+01
137 161 6.101697e+01 1.641264e+02 3.003942e+02 3.440477e+01
138 139 1.607891e+02 3.701798e+01 2.520380e+01 3.748315e+01
138 231 2.522603e+02 1.624135e+02 1.346268e+02 3.266294e+01
139 144 8.454677e+01 1.169011e+02 1.372026e+02 4.939184e+01
139 178 1.155766e+02 1.303848e+02 1.517639e+02 5.932022e+01
139 231 2.810167e+00 1.399782e+02 6.525053e+01 4.827036e+01
140 218 3.153414e+02 7.043316e+01 1.351053e+02 5.986492e+01
141 154 1.255503e+02 1.305314e+02 3.497332e+02 5.665028e+01
141 198 6.358937e+01 4.811954e+01 3.322472e+02 5.935385e+01
142 156 1.911276e+01 1.299389e+02 2.368201e+02 5.860170e+01
