#grainID x y area perimeter subBoundaryLength diameter equivalentPerimeter shapeFactor isBoundary hasHole isInclusion numNeighbors phi1 Phi phi2
65 -2.029947e+02 -1.959984e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 3.107311e+02 1.011230e+02 1.947999e+01
66 -2.196223e+02 -1.959984e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 4 2.516431e+02 1.565000e+02 1.769288e+02
67 -2.203151e+02 -1.919985e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 5 3.183755e+02 5.539241e+01 1.853398e+02
68 -2.210079e+02 -1.959984e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 4 1.204478e+02 5.179653e+01 2.635995e+02
69 -2.217007e+02 -1.919985e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 4 2.214579e+02 3.156424e+01 3.366356e+02
70 -1.046150e+02 -2.039984e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.065605e+02 1.061691e+02 9.275385e+01
71 -1.932953e+02 -2.119983e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 1.578149e+02 2.535682e+01 5.197186e+01
72 -3.949044e+01 -2.199982e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 3.301165e+02 1.236621e+02 3.346056e+02
73 -7.828807e+01 -2.279982e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.637067e+02 1.363972e+02 1.125478e+02
74 -1.967594e+02 -2.239982e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.702647e+02 1.404904e+02 8.627885e+01
75 -8.452340e+01 -2.319981e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 2.069277e+02 1.059261e+02 9.268967e+01
76 -1.939881e+02 -2.319981e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 8.298663e+01 8.777370e+01 2.195431e+02
77 -1.593474e+01 -2.439980e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.903715e+02 1.381206e+02 1.220738e+02
78 -3.949044e+01 -2.439980e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 3.300592e+02 1.242425e+02 3.341885e+02
79 -8.521622e+01 -2.439980e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 9.567822e+01 7.381243e+01 2.702527e+02
80 -8.590903e+01 -2.399981e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 4 2.661790e+01 7.378436e+01 1.772869e+02
81 -1.953738e+02 -2.399981e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.703243e+02 1.404205e+02 8.654241e+01
82 -2.029947e+02 -2.439980e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.748054e+02 5.050738e+01 2.671484e+02
83 -2.050732e+02 -2.399981e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 8.281360e+01 8.764192e+01 2.198445e+02
84 -7.884522e+01 -9.830989e+00 2.915336e+02 9.850346e+01 0.000000e+00 3.051593e+01 6.052702e+01 1.627430e+00 1 0 0 18 2.271067e+02 4.134841e+01 3.285343e+02
85 -8.475434e+01 -2.413314e+01 1.662742e+00 6.466271e+00 0.000000e+00 2.309383e+00 4.571065e+00 1.414609e+00 0 0 0 7 2.023809e+02 1.499595e+02 1.499992e+02
86 -1.475695e+02 -2.519980e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 2.826183e+02 1.298225e+02 7.654831e+01
87 -1.898312e+02 -2.479980e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 1.181072e+02 1.089491e+02 2.540214e+02
88 -1.988378e+02 -2.519980e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.750174e+02 5.061738e+01 2.669336e+02
89 -1.046150e+02 -2.599979e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.064751e+02 1.062745e+02 9.283119e+01
90 -1.330204e+02 -2.559979e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 2.700247e+02 1.341088e+02 3.017717e+02
91 -1.967594e+02 -2.559979e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.703197e+02 1.404709e+02 8.649027e+01
92 -4.018326e+01 -2.639979e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 9.680466e+01 4.176461e+01 5.702362e+01
93 -7.967370e+01 -2.639979e+01 1.108495e+00 4.618765e+00 0.000000e+00 1.665319e+00 3.732259e+00 1.237525e+00 0 0 0 2 3.165700e+02 9.268607e+01 1.570788e+02
94 -1.323276e+02 -2.679979e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 1.553168e+02 2.060757e+01 9.249945e+01
95 -2.549558e+02 -2.639979e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.556710e+01 5.545086e+01 1.462584e+02
96 -4.357177e+01 -1.547640e+01 2.998478e+02 1.034603e+02 0.000000e+00 3.025556e+01 6.138403e+01 1.685460e+00 0 0 0 8 2.897164e+02 9.853113e+01 3.751261e+01
97 -8.559412e+01 -2.592707e+01 6.096721e+00 1.108504e+01 0.000000e+00 3.233136e+00 8.752923e+00 1.266438e+00 0 0 0 6 3.253633e+02 9.100713e+01 1.550272e+02
98 -1.953738e+02 -2.719978e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 8.300783e+01 8.773989e+01 2.195230e+02
99 -2.424852e+02 -2.719978e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.602202e+01 5.508760e+01 1.462435e+02
100 -2.591127e+02 -2.719978e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.269514e+02 8.124771e+01 1.769867e+00
101 -4.156889e+01 -2.799978e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.765736e+02 1.381722e+02 1.230599e+02
102 -8.163667e+01 -2.673312e+01 3.325484e+00 1.200879e+01 0.000000e+00 4.548956e+00 6.464462e+00 1.857663e+00 0 0 0 3 4.531542e+01 1.150680e+02 2.766244e+00
103 -8.683279e+01 -2.733311e+01 3.325484e+00 9.237530e+00 0.000000e+00 3.028727e+00 6.464462e+00 1.428971e+00 0 0 0 5 2.784455e+02 1.186694e+02 1.861999e+02
104 -8.798748e+01 -2.839977e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 4.324857e+01 1.532072e+02 3.483967e+02
105 -2.016091e+02 -2.839977e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 2.494950e+02 2.233676e+01 2.393800e+02
106 -2.043804e+02 -2.839977e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 2.494475e+02 2.229551e+01 2.393285e+02
107 -8.937311e+01 -2.919977e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 2 2.731857e+02 7.962108e+01 3.623500e+01
108 -1.926025e+02 -2.959976e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 1 1 8.298778e+01 8.774734e+01 2.195689e+02
109 -9.006592e+01 -3.119975e+01 5.542474e-01 2.771259e+00 0.000000e+00 9.237530e-01 2.639106e+00 1.050075e+00 0 0 0 3 9.355312e+01 1.011952e+02 2.342148e+02
110 -8.053972e+01 -2.893977e+01 1.108495e+01 2.124632e+01 0.000000e+00 7.687157e+00 1.180244e+01 1.800164e+00 0 0 0 5 1.859992e+02 9.511148e+01 2.429870e+02
