#grainID1 grainID2 x y
5 17 -1.536637e+01 -7.045283e+00
5 17 -1.530975e+01 -7.584917e+00
5 17 -1.531940e+01 -7.642125e+00
5 17 -1.530126e+01 -7.425716e+00
5 17 -1.529714e+01 -7.348034e+00
5 17 -1.530280e+01 -7.482004e+00
5 10 -1.620392e+01 -6.271679e+00
5 10 -1.607949e+01 -6.450588e+00
0 24 -5.142672e+01 -1.749974e-01
0 24 -5.142672e+01 -1.249982e-01
0 24 -5.142672e+01 -2.249967e-01
0 24 -5.142672e+01 -2.749960e-01
0 55 -2.866502e+01 -6.002799e+01
0 55 -2.875162e+01 -6.002799e+01
55 56 -4.129056e+01 -5.744742e+01
55 56 -4.127748e+01 -5.748606e+01
21 28 -2.294234e+01 -2.136622e+01
13 21 -2.301501e+01 -2.131045e+01
13 28 -2.291014e+01 -2.130760e+01
21 28 -2.290352e+01 -2.141718e+01
21 28 -2.284743e+01 -2.147953e+01
3 10 -2.214877e+01 -2.512639e+00
3 10 -2.212867e+01 -2.510994e+00
0 54 2.886709e-02 -5.829914e+01
0 54 2.886709e-02 -5.839914e+01
0 54 2.886709e-02 -5.864914e+01
0 54 -7.216773e-03 -6.002799e+01
0 54 2.886709e-02 -6.000105e+01
0 54 -8.660127e-02 -6.002799e+01
0 54 -1.732025e-01 -6.002799e+01
0 54 -2.598038e-01 -6.002799e+01
0 54 2.886709e-02 -5.949913e+01
0 54 2.886709e-02 -5.954913e+01
0 55 -2.312254e+01 -6.002799e+01
0 55 -2.320914e+01 -6.002799e+01
0 55 -3.567972e+01 -6.002799e+01
0 55 -3.559312e+01 -6.002799e+01
0 55 -3.576632e+01 -6.002799e+01
0 56 -4.425325e+01 -6.002799e+01
0 56 -4.433985e+01 -6.002799e+01
0 56 -4.468626e+01 -6.002799e+01
0 56 -4.970913e+01 -6.002799e+01
0 56 -4.979573e+01 -6.002799e+01
0 55 -2.277613e+01 -6.002799e+01
0 55 -2.286274e+01 -6.002799e+01
0 56 -4.823691e+01 -6.002799e+01
0 56 -4.797710e+01 -6.002799e+01
35 39 -5.774559e+00 -3.934797e+01
35 39 -5.752854e+00 -3.932030e+01
0 24 -3.429410e+01 2.886709e-02
0 24 -3.420750e+01 2.886709e-02
0 24 -3.438070e+01 2.886709e-02
0 24 -3.446731e+01 2.886709e-02
0 24 -3.472711e+01 2.886709e-02
0 24 -3.481371e+01 2.886709e-02
0 1 -3.031044e+01 2.886709e-02
0 1 -3.039705e+01 2.886709e-02
0 3 -2.762581e+01 2.886709e-02
0 3 -2.771241e+01 2.886709e-02
0 3 -2.953103e+01 2.886709e-02
0 3 -2.944443e+01 2.886709e-02
11 14 -6.495095e-02 -1.873723e+01
11 14 -5.669443e-02 -1.871966e+01
11 14 -7.320725e-02 -1.875479e+01
5 17 -1.536183e+01 -6.730171e+00
5 17 -1.534985e+01 -7.099286e+00
5 17 -1.532559e+01 -7.168121e+00
5 17 -1.530359e+01 -7.529296e+00
5 10 -1.601738e+01 -6.534115e+00
0 24 -5.142672e+01 -5.249923e-01
0 24 -5.142672e+01 -5.749916e-01
0 24 -5.142672e+01 -3.749945e-01
0 7 -6.062089e-01 2.886709e-02
0 56 -5.142672e+01 -5.912413e+01
0 56 -5.142672e+01 -5.917413e+01
0 56 -5.142672e+01 -5.892414e+01
0 56 -5.142672e+01 -5.897414e+01
51 56 -5.085641e+01 -5.501168e+01
51 56 -5.081776e+01 -5.502896e+01
51 56 -5.089416e+01 -5.499426e+01
0 55 -2.857842e+01 -6.002799e+01
55 56 -4.115917e+01 -5.778533e+01
55 56 -4.114663e+01 -5.782773e+01
55 56 -4.135715e+01 -5.727798e+01
55 56 -4.135615e+01 -5.724339e+01
55 56 -4.134535e+01 -5.730776e+01
55 56 -4.098403e+01 -5.878663e+01
55 56 -4.098405e+01 -5.876164e+01
0 55 -3.923038e+01 -6.002799e+01
