#grainID1 grainID2 x y phi1 Phi phi2 angle
0 4 -5.142672e+01 -3.249952e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 4 -5.142672e+01 -3.749945e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
4 25 -5.072698e+01 -3.887280e+00 2.224692e+01 2.233781e+01 7.563509e+01 9.975925e+01
4 25 -5.070707e+01 -3.888913e+00 1.886481e+02 1.106588e+02 9.971507e+01 1.250614e+02
0 3 -2.598038e-01 2.886709e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
57 58 -2.561230e+01 -5.883665e+01 3.154364e+02 6.979200e+01 4.445683e+01 6.979207e+01
57 58 -2.560379e+01 -5.881657e+01 2.759757e+01 1.317438e+02 3.332487e+02 1.317452e+02
57 58 -2.562058e+01 -5.885687e+01 1.349368e+02 1.100913e+02 3.145748e+02 1.319868e+02
57 58 -2.539582e+01 -5.866164e+01 3.145836e+02 7.027448e+01 4.553746e+01 7.027457e+01
57 58 -2.538729e+01 -5.864157e+01 3.151099e+02 1.091131e+02 2.249921e+02 1.799409e+02
0 57 -2.554737e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 57 -2.546077e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 56 -2.147712e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 56 -2.156372e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 56 -2.139051e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 56 -2.165032e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
58 60 -4.021040e+01 -5.860919e+01 3.761386e+01 1.348156e+02 9.640042e+01 1.627389e+02
52 53 -4.503266e+01 -5.702416e+01 6.095151e+01 1.146064e+02 1.889574e+02 1.439430e+02
52 53 -4.500357e+01 -5.701267e+01 4.560378e+01 1.432411e+02 6.148075e+01 1.584018e+02
51 61 -4.904029e+01 -5.603080e+01 1.758222e+02 4.980630e+00 3.234954e+02 1.393577e+02
51 61 -4.905774e+01 -5.600120e+01 1.407605e+02 9.344879e+01 8.640273e+01 1.481664e+02
51 61 -4.902437e+01 -5.605493e+01 6.653774e+00 9.032274e+01 5.039955e+01 1.034395e+02
51 61 -4.908623e+01 -5.597543e+01 9.592315e+01 1.289988e+02 1.791508e+02 1.429643e+02
51 61 -4.912203e+01 -5.595894e+01 2.768942e+02 1.410137e+02 1.803209e+02 1.545064e+02
0 61 -5.142672e+01 -5.982412e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.109475e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.100815e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.126795e+01 -6.002799e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.142672e+01 -5.782415e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.142672e+01 -5.777415e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.142672e+01 -5.762415e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.142672e+01 -5.757416e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.142672e+01 -5.677417e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
0 61 -5.142672e+01 -5.672417e+01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
52 58 -4.239730e+01 -5.345399e+01 1.027136e+02 1.241636e+02 1.385889e+02 1.523805e+02
52 58 -4.241011e+01 -5.348179e+01 2.828494e+02 5.518982e+01 2.211484e+02 1.482093e+02
52 58 -4.237829e+01 -5.342928e+01 1.036223e+02 1.250537e+02 1.394102e+02 1.520903e+02
52 58 -4.235782e+01 -5.340897e+01 7.084100e+01 1.435511e+02 2.963653e+02 1.436257e+02
