#grainID	x	y	grainSize	perimeter	boundarySize	numNeighbors
351	-7.239914e+01	-9.099927e+01	2	4.618765e+00	10	4
352	-1.046150e+02	-9.159927e+01	1	2.771259e+00	6	2
353	-1.347840e+01	-8.745385e+01	44	2.771259e+01	60	4
354	-6.166051e+01	-9.239926e+01	1	2.771259e+00	6	2
355	-5.633410e+01	-8.820113e+01	109	6.096770e+01	132	4
356	-1.053706e+02	-8.192870e+01	453	1.533430e+02	366	24
357	-1.135223e+02	-7.170377e+01	1081	1.357917e+02	294	14
358	-6.858866e+01	-9.399925e+01	1	2.771259e+00	6	2
359	-1.011510e+02	-9.319925e+01	2	4.618765e+00	10	2
360	-2.313513e+02	-8.523265e+01	312	6.928148e+01	150	8
361	-6.789585e+01	-9.439924e+01	1	2.771259e+00	6	2
362	-7.518965e+01	-9.069927e+01	36	3.233136e+01	70	5
363	-8.903124e+01	-8.340370e+01	458	8.313777e+01	187	9
364	-9.705520e+01	-8.951693e+01	136	5.080642e+01	110	4
365	-1.004581e+02	-9.559923e+01	1	2.771259e+00	6	2
366	-1.610794e+02	-9.459924e+01	6	1.016128e+01	22	3
367	-8.868029e+01	-9.599923e+01	1	2.771259e+00	6	2
368	-1.004581e+02	-9.639923e+01	1	2.771259e+00	6	3
369	-2.324163e+02	-9.437258e+01	30	2.217007e+01	48	5
370	-1.011510e+02	-9.679922e+01	1	2.771259e+00	6	2
371	-1.004581e+02	-9.799922e+01	1	2.771259e+00	6	2
372	-1.932953e+02	-9.679922e+01	4	8.313777e+00	18	2
373	-6.789585e+01	-9.839921e+01	1	2.771259e+00	6	2
374	-9.976533e+01	-9.839921e+01	1	2.771259e+00	6	2
375	-1.122360e+02	-9.839921e+01	1	2.771259e+00	6	1
376	-6.789585e+01	-9.919921e+01	1	2.771259e+00	6	3
377	-2.232073e+02	-9.021198e+01	252	6.466271e+01	140	10
378	-2.287674e+02	-9.767922e+01	15	1.662755e+01	36	3
379	-2.629925e+02	-9.823921e+01	5	1.016128e+01	22	3
380	-1.243603e+02	-1.001992e+02	2	4.618765e+00	10	2
381	-1.513344e+02	-9.448542e+01	311	1.043841e+02	226	5
382	-2.612451e+02	-9.394147e+01	90	5.450143e+01	118	3
383	-2.636353e+02	-8.666198e+01	692	1.560722e+02	323	10
