# theta phi size
1.280905887946133817e+02 6.239792556052361761e+01 7.000000000000000000e+00
1.348295313759788598e+02 5.900038680878363095e+01 1.100000000000000000e+01
4.987344343051866247e+01 5.549682003380037543e+01 3.400000000000000000e+01
4.582959620043511961e+01 1.220596822423370185e+02 2.000000000000000000e+00
1.270608850130595897e+02 6.074867056974588309e+01 3.400000000000000000e+01
4.557876932861147878e+01 1.214752003436805268e+02 3.000000000000000000e+00
1.462168882754802155e+02 1.237338793277301363e+02 2.900000000000000000e+01
5.169060672492769015e+01 1.111709351780110637e+02 6.500000000000000000e+01
-1.351865037031305974e+02 1.195739662943571062e+02 2.400000000000000000e+01
4.583071024854128694e+01 1.220592989267485109e+02 6.000000000000000000e+00
1.285131371802147555e+02 8.996751852630681867e+01 3.900000000000000000e+01
4.629587873251939811e+01 5.956017808841039596e+01 7.000000000000000000e+00
4.727941099340696240e+01 5.408903628270007147e+01 2.000000000000000000e+00
1.480932705571277950e+02 9.339582831061503043e+01 4.000000000000000000e+00
1.389864216032999593e+02 1.263852086302302808e+02 4.100000000000000000e+01
-3.641735809831462944e+01 1.493295202074755252e+02 1.300000000000000000e+01
1.358278230538831224e+02 5.831903297769543570e+01 5.000000000000000000e+01
-4.035797419240972772e+01 5.237550648371599493e+01 9.000000000000000000e+00
1.336888314622131873e+02 5.850927235212196109e+01 3.600000000000000000e+01
5.067287683047038627e+01 9.194758663514545560e+01 2.000000000000000000e+00
1.438204795779114420e+02 1.249343595389137533e+02 3.000000000000000000e+00
2.583423976924585919e+00 8.730921727952681977e+01 3.000000000000000000e+00
-4.060003636609045685e+01 1.436349540661524884e+02 3.000000000000000000e+00
2.132751476300389015e+01 1.173290252709788319e+02 1.000000000000000000e+01
-6.181776077961162486e+01 6.234101059901008313e+01 2.900000000000000000e+01
-8.450183825062893561e+01 5.743075126839399047e+01 4.000000000000000000e+00
-1.258450925246042971e+02 7.731005011382178793e+01 1.200000000000000000e+01
9.708530883306760018e+01 7.538060134913268939e+01 6.000000000000000000e+00
8.534930967788591261e+01 7.486651249294664012e+01 5.000000000000000000e+00
2.611686722788741477e+01 9.270420509185181857e+01 1.300000000000000000e+01
-5.755584025746533428e+01 6.494941658258674977e+01 3.000000000000000000e+00
2.079947646144922757e+01 9.670776513620788251e+01 2.000000000000000000e+00
1.277676983408472751e+02 1.218439302678938674e+02 3.800000000000000000e+01
3.263820448597745383e+01 1.162190252347741506e+02 1.600000000000000000e+01
1.447744440676036959e+02 1.166755697547919084e+02 3.000000000000000000e+00
-1.405129779877087230e+02 6.174348193875250956e+01 4.000000000000000000e+00
8.861522268171017913e+01 8.549278096944735239e+01 2.000000000000000000e+00
-5.444946260273633953e+01 1.227260762802824132e+02 6.000000000000000000e+00
-8.671089162268383177e+01 1.728670837696901117e+02 1.200000000000000000e+01
1.339666825063320346e+02 6.810646712776569700e+01 2.000000000000000000e+00
1.312399897169939607e+02 5.927352038401355827e+01 1.700000000000000000e+01
-3.423940815283216921e+01 5.878493388713174284e+01 2.000000000000000000e+00
-1.118128929422439342e+02 6.966266313265403198e+01 1.300000000000000000e+01
-1.797765933774704195e+02 8.838077021613628403e+01 5.000000000000000000e+00
1.498504706467060430e+02 6.492726238534243066e+01 8.000000000000000000e+00
-2.256817789573002386e+01 1.175658423511431465e+02 2.500000000000000000e+01
-1.786601798791306521e+02 1.040846859650201850e+02 7.000000000000000000e+00
1.270605319973295337e+02 6.075463931175399779e+01 4.500000000000000000e+01
1.017504873201282862e+02 1.713513973700319468e+02 4.000000000000000000e+00
4.558566926718952317e+01 1.214728044838194734e+02 3.000000000000000000e+00
9.697423166158209540e+01 5.368111082936783873e+01 4.000000000000000000e+00
4.469443905375234749e+01 1.177839891152239886e+02 7.000000000000000000e+00
1.494350913365100553e+02 7.971913561578244867e+01 1.400000000000000000e+01
1.410315923168104746e+02 1.181539155326063764e+02 1.100000000000000000e+01
4.987698635240707290e+01 5.549360566364256186e+01 4.000000000000000000e+00
8.550336679938310169e+01 7.041581367076499021e+01 2.000000000000000000e+00
-1.401162060095792583e+02 1.095082291124762577e+02 2.000000000000000000e+00
1.430571628743761607e+02 6.231352937863977104e+01 5.300000000000000000e+01
