# itime ezz other fcc hcp bcc ico
1.410000000000000000e+03 5.640006024752504121e-01 9.437869822485207560e-01 3.049613108784706567e-02 2.025489303595812488e-02 5.348202093764223633e-03 1.137915339098771066e-04
1.440000000000000000e+03 5.760006152938728086e-01 9.378698224852071164e-01 3.277196176604460498e-02 2.275830678197542090e-02 6.486117432862995025e-03 1.137915339098771066e-04
1.470000000000000000e+03 5.880006281124949830e-01 9.419663177059627301e-01 3.152025489303595523e-02 2.264451524806554428e-02 3.868912152935821518e-03 0.000000000000000000e+00
1.500000000000000000e+03 6.000006409311173794e-01 9.436731907146108655e-01 3.049613108784706567e-02 2.093764223941738806e-02 4.779244424214838804e-03 1.137915339098771066e-04
1.530000000000000000e+03 6.120006537497397758e-01 9.476558944014564778e-01 2.867546654528902936e-02 1.991351843422849502e-02 3.755120619025944465e-03 0.000000000000000000e+00
1.560000000000000000e+03 6.240006665683621723e-01 9.432180245789713036e-01 2.969959035047792587e-02 2.184797451069640448e-02 5.120619025944469528e-03 1.137915339098771066e-04
1.590000000000000000e+03 6.360006793869843467e-01 9.460628129267182329e-01 2.765134274010013632e-02 2.093764223941738806e-02 5.348202093764223633e-03 0.000000000000000000e+00
1.620000000000000000e+03 6.480006922056067431e-01 9.470869367319071364e-01 2.753755120619025970e-02 2.093764223941738806e-02 4.437869822485207214e-03 0.000000000000000000e+00
1.650000000000000000e+03 6.600007050242291395e-01 9.487938097405552718e-01 2.639963586709149004e-02 2.139280837505689453e-02 3.413746017296313308e-03 0.000000000000000000e+00
1.680000000000000000e+03 6.720007178428515360e-01 9.500455166135639562e-01 2.446517979062357712e-02 2.218934911242603433e-02 3.299954483386436255e-03 0.000000000000000000e+00
1.710000000000000000e+03 6.840007306614739324e-01 9.532316795630405570e-01 2.366863905325443732e-02 1.934456076467910846e-02 3.755120619025944465e-03 0.000000000000000000e+00
1.740000000000000000e+03 6.960007434800961068e-01 9.544833864360491305e-01 2.150659990896677115e-02 2.082385070550751144e-02 3.186162949476558769e-03 0.000000000000000000e+00
1.770000000000000000e+03 7.080007562987185032e-01 9.555075102412380339e-01 2.150659990896677115e-02 2.002730996813837164e-02 2.958579881656804664e-03 0.000000000000000000e+00
1.800000000000000000e+03 7.200007691173408997e-01 9.566454255803368278e-01 2.105143377332726468e-02 1.877560309512972189e-02 3.299954483386436255e-03 2.275830678197542133e-04
1.830000000000000000e+03 7.320007819359632961e-01 9.601729631315429891e-01 1.923076923076923184e-02 1.832043695949021542e-02 2.275830678197541916e-03 0.000000000000000000e+00
1.860000000000000000e+03 7.440007947545856926e-01 9.552799271734182529e-01 2.059626763768775473e-02 2.093764223941738806e-02 3.186162949476558769e-03 0.000000000000000000e+00
1.890000000000000000e+03 7.560008075732078670e-01 9.584660901228948537e-01 1.797906235776058209e-02 1.866181156121984527e-02 4.779244424214838804e-03 1.137915339098771066e-04
1.920000000000000000e+03 7.680008203918302634e-01 9.618798361401911245e-01 1.695493855257168905e-02 1.638598088302230249e-02 4.665452890304961318e-03 1.137915339098771066e-04
1.950000000000000000e+03 7.800008332104526598e-01 9.638142922166590409e-01 1.593081474738279601e-02 1.684114701866181243e-02 3.413746017296313308e-03 0.000000000000000000e+00
