,#grainID,x,y,grainSize,perimeter,boundarySize,numNeighbors,h(Gpa)
216,88.0,-83.13777,-19.19985,1.0,2.771259,6.0,3.0,0.0
217,89.0,-151.7264,-19.59984,1.0,2.771259,6.0,1.0,0.0
218,90.0,-61.24483,-19.35984,5.0,9.23753,20.0,3.0,0.0
219,91.0,-83.13777,-19.99984,1.0,2.771259,6.0,3.0,0.0
220,92.0,-44.1477,-13.03323,72.0,43.41639,94.0,8.0,0.0
221,93.0,-81.49732,-17.29641,87.0,45.2639,98.0,10.0,0.0
222,94.0,-218.9295,-20.79983,1.0,2.771259,6.0,2.0,0.0
223,95.0,-63.55001,-19.27257,22.0,18.47506,40.0,5.0,0.0
224,96.0,-184.9848,-16.14334,421.0,124.7067,270.0,9.0,0.0
225,97.0,-245.5762,-19.81523,13.0,12.93254,28.0,3.0,0.0
226,98.0,-1.396798,-15.22475,62.0,43.99314,84.0,4.0,0.0
227,99.0,-82.44496,-22.79982,1.0,2.771259,6.0,2.0,0.0
228,100.0,-13.26044,-9.457537,890.0,154.448,304.0,12.0,0.0
229,101.0,-82.44496,-23.59981,1.0,2.771259,6.0,2.0,0.0
230,102.0,-209.9229,-23.59981,1.0,2.771259,6.0,3.0,0.0
231,103.0,-7.620963,-24.3998,1.0,2.771259,6.0,3.0,0.0
232,104.0,-10.39222,-24.3998,1.0,2.771259,6.0,2.0,0.0
233,105.0,-63.73896,-23.99981,1.0,2.771259,6.0,3.0,0.0
234,106.0,-218.2367,-24.3998,1.0,2.771259,6.0,2.0,0.0
235,107.0,-219.6223,-24.3998,1.0,2.771259,6.0,2.0,0.0
236,108.0,-10.39222,-25.1998,1.0,2.771259,6.0,3.0,0.0
237,109.0,-63.73896,-24.7998,1.0,2.771259,6.0,4.0,0.0
238,110.0,-189.274,-21.10418,46.0,35.10262,76.0,3.0,0.0
239,111.0,-210.6157,-24.7998,1.0,2.771259,6.0,4.0,0.0
240,112.0,-211.3085,-25.1998,1.0,2.771259,6.0,3.0,0.0
241,113.0,-10.39222,-25.99979,1.0,2.771259,6.0,3.0,0.0
242,114.0,-63.04614,-25.99979,1.0,2.771259,6.0,3.0,0.0
243,115.0,-63.73896,-25.59979,1.0,2.771259,6.0,3.0,0.0
244,116.0,-209.5765,-25.3998,2.0,4.618765,10.0,2.0,0.0
245,117.0,-214.7961,-16.92776,441.0,118.2404,256.0,13.0,0.0
246,118.0,-0.8074984,-22.65288,31.0,22.31811,40.0,4.0,0.0
247,119.0,-9.699407,-26.39979,1.0,2.771259,6.0,2.0,0.0
248,120.0,-62.35333,-26.39979,1.0,2.771259,6.0,3.0,0.0
249,121.0,-74.47759,-26.19979,2.0,4.618765,10.0,2.0,0.0
250,123.0,-202.9947,-24.83616,11.0,12.00879,26.0,3.0,0.0
251,124.0,-245.2564,-26.39979,1.0,2.771259,6.0,2.0,0.0
252,125.0,-62.35333,-27.19978,1.0,2.771259,6.0,2.0,0.0
253,126.0,-75.51681,-27.59978,1.0,2.771259,6.0,1.0,0.0
254,127.0,-119.1641,-27.19978,1.0,2.771259,6.0,1.0,0.0
255,128.0,-175.8109,-23.90507,38.0,24.94133,54.0,2.0,0.0
256,129.0,-213.0405,-26.99978,2.0,4.618765,10.0,2.0,0.0
257,130.0,-7.620963,-28.39977,1.0,2.771259,6.0,3.0,0.0
258,131.0,-61.66051,-28.39977,1.0,2.771259,6.0,2.0,0.0
259,132.0,-70.86958,-20.23787,284.0,61.89145,134.0,14.0,0.0
260,134.0,-237.3192,-24.61719,46.0,33.25511,72.0,3.0,0.0
261,135.0,-240.0359,-21.15042,170.0,54.50143,118.0,13.0,0.0
262,136.0,-7.620963,-29.19977,1.0,2.771259,6.0,3.0,0.0
263,137.0,-62.35333,-28.79977,1.0,2.771259,6.0,2.0,0.0
264,138.0,-242.4852,-28.79977,1.0,2.771259,6.0,3.0,0.0
265,139.0,-254.2223,-21.76192,306.0,75.74775,164.0,9.0,0.0
266,140.0,-2.771259,-28.39977,16.0,17.55131,38.0,2.0,0.0
267,141.0,-68.71857,-29.22477,16.0,16.62755,36.0,3.0,0.0
268,143.0,-269.5049,-30.39976,2.0,4.618765,10.0,3.0,0.0
269,144.0,-272.0139,-21.36921,302.0,76.19185,142.0,7.0,0.0
270,145.0,-4.849703,-31.59975,1.0,2.771259,6.0,2.0,0.0
271,146.0,-5.542518,-31.19975,1.0,2.771259,6.0,3.0,0.0
272,147.0,-40.18326,-31.19975,1.0,2.771259,6.0,2.0,0.0
273,148.0,-40.87607,-31.59975,1.0,2.771259,6.0,3.0,0.0
274,149.0,-41.56889,-31.19975,1.0,2.771259,6.0,3.0,0.0
275,150.0,-167.6612,-31.99974,1.0,2.771259,6.0,3.0,0.0
276,151.0,-207.9263,-27.8725,110.0,41.56889,90.0,12.0,0.0
277,152.0,-6.789585,-32.39974,5.0,8.313777,18.0,3.0,0.0
278,153.0,-62.35333,-32.79974,1.0,2.771259,6.0,1.0,0.0
279,154.0,-65.78854,-29.01643,24.0,22.17007,48.0,4.0,0.0
280,155.0,-73.43837,-31.59975,4.0,8.313777,18.0,2.0,0.0
281,156.0,-97.00262,-20.04428,324.0,73.90024,160.0,11.0,0.0
282,157.0,-181.5175,-32.39974,2.0,4.618765,10.0,3.0,0.0
