# rg size
2.047570236027457913e+00 2.300000000000000000e+01
1.322923285414207051e+01 3.570000000000000000e+02
1.534017226123076938e+01 8.100000000000000000e+01
1.364740803295051386e+01 5.670000000000000000e+02
1.319049284564903601e+01 1.480000000000000000e+02
7.901583669289483858e+00 3.400000000000000000e+01
3.294773462396149100e+00 6.500000000000000000e+01
1.260176578185950413e+00 8.000000000000000000e+00
1.244375128473078362e+01 9.600000000000000000e+01
1.510217207696881836e+00 1.100000000000000000e+01
1.361790660102563955e+01 5.870000000000000000e+02
1.351098250392468536e+01 6.100000000000000000e+02
9.648963403090197843e+00 8.600000000000000000e+01
1.477100788543039833e+01 3.000000000000000000e+01
1.103310966775908897e+00 3.000000000000000000e+00
1.366743802458869439e+01 5.710000000000000000e+02
1.356654196172385873e+01 6.000000000000000000e+02
9.431672909233972391e+00 3.100000000000000000e+01
6.326855169305821036e+00 1.320000000000000000e+02
1.084607718468075799e+00 5.000000000000000000e+00
1.113369847338767205e+00 3.000000000000000000e+00
1.358066824651174898e+01 5.370000000000000000e+02
1.366618652973628656e+01 5.930000000000000000e+02
7.841633800790199338e+00 9.400000000000000000e+01
5.079558292508801642e+00 1.330000000000000000e+02
9.904375892689367689e+00 1.800000000000000000e+01
1.525800629085912874e+01 3.000000000000000000e+00
1.512146404329312688e+00 4.000000000000000000e+00
1.387602247007673029e+01 3.810000000000000000e+02
1.348756256365280493e+01 5.640000000000000000e+02
1.196033283876520770e+01 7.500000000000000000e+01
1.916227334170795826e+00 7.000000000000000000e+00
1.533727133339554705e+01 6.000000000000000000e+00
1.557272496604301182e+01 3.500000000000000000e+01
1.319106310083058986e+01 1.960000000000000000e+02
1.189289716153127507e+01 1.180000000000000000e+02
3.331325321993982680e+00 4.300000000000000000e+01
4.855244611756971196e+00 1.260000000000000000e+02
1.369728608043280893e+01 5.040000000000000000e+02
1.370398115477243728e+01 5.980000000000000000e+02
9.099020199627148031e+00 1.200000000000000000e+01
1.140680263452859755e+01 5.400000000000000000e+01
2.377283201421369618e+00 2.700000000000000000e+01
6.114996858327036655e+00 1.040000000000000000e+02
3.388918117670260521e+00 3.200000000000000000e+01
2.630460900839049376e+00 2.200000000000000000e+01
1.367816864303235391e+01 5.090000000000000000e+02
1.371216575433344964e+01 6.020000000000000000e+02
1.273416189084901973e+01 1.600000000000000000e+01
1.118101569353982505e+01 4.500000000000000000e+01
8.111032381432464078e+00 7.300000000000000000e+01
2.120031109742804176e+00 2.200000000000000000e+01
3.428683815387315370e+00 3.300000000000000000e+01
5.548096441007843715e+00 1.500000000000000000e+01
1.369324338160143562e+01 5.720000000000000000e+02
1.338122905942246454e+01 5.760000000000000000e+02
1.888430636211227309e+01 8.000000000000000000e+00
1.603653835637701519e+01 2.100000000000000000e+01
1.612764432751638921e+01 7.000000000000000000e+00
4.173470218886185634e+00 6.200000000000000000e+01
2.405440404010678712e+00 3.000000000000000000e+01
9.639849540418886420e+00 4.000000000000000000e+01
2.072905992860714530e+00 2.300000000000000000e+01
1.643217547133797085e+00 4.000000000000000000e+00
7.318697709751952329e-01 2.000000000000000000e+00
1.684235972707472051e+00 9.000000000000000000e+00
1.375095873144104353e+01 5.740000000000000000e+02
1.348618283165292731e+01 5.830000000000000000e+02
1.933197713191552580e+01 7.000000000000000000e+00
1.613123216641838908e+01 2.100000000000000000e+01
1.575051731450348846e+01 3.000000000000000000e+00
2.441148657314783144e+00 3.000000000000000000e+01
4.969029990112612261e+00 5.000000000000000000e+01
