# drho_hcp drho_bcc ei ef ti tf avalancheSize
-1.415221120526194420e-03 1.272383952250950162e-03 3.095999999999999863e-01 3.103199999999999847e-01 2.580000000000000000e+03 2.586000000000000000e+03 5.232624870034519732e-02
5.856344251495282371e-04 -1.400632705215124757e-04 3.114000000000000101e-01 3.124799999999999800e-01 2.595000000000000000e+03 2.604000000000000000e+03 1.498057306831480084e-01
-5.848287881801278454e-04 7.525810682605677676e-04 3.181200000000000139e-01 3.189600000000000213e-01 2.651000000000000000e+03 2.658000000000000000e+03 7.906007148838258003e-02
5.858028926529756930e-04 6.619716057917474084e-04 3.215999999999999970e-01 3.224400000000000044e-01 2.680000000000000000e+03 2.687000000000000000e+03 7.218137674796622216e-02
3.453933603431158517e-05 -3.961147610433840560e-04 3.234000000000000208e-01 3.242399999999999727e-01 2.695000000000000000e+03 2.702000000000000000e+03 8.051440514819029060e-02
1.349414770048948387e-03 1.150945810920185608e-03 3.274799999999999933e-01 3.285600000000000187e-01 2.729000000000000000e+03 2.738000000000000000e+03 1.017425269146022132e-01
1.313096440425695621e-03 -4.947055789033243806e-04 3.302399999999999780e-01 3.308400000000000230e-01 2.752000000000000000e+03 2.757000000000000000e+03 4.734337547891065423e-02
-2.471772543900588315e-03 1.395310395474828533e-03 3.353999999999999759e-01 3.363599999999999923e-01 2.795000000000000000e+03 2.803000000000000000e+03 6.926610844539651812e-02
3.976795400665728009e-04 9.572911499946094860e-04 3.376799999999999802e-01 3.382800000000000251e-01 2.814000000000000000e+03 2.819000000000000000e+03 4.398201023225477985e-02
-1.314337978846211175e-03 1.143652720603412221e-03 3.415199999999999902e-01 3.424800000000000066e-01 2.846000000000000000e+03 2.854000000000000000e+03 1.174123416587163626e-01
3.084718153778698291e-03 -8.530810988558196889e-04 3.446400000000000019e-01 3.458399999999999808e-01 2.872000000000000000e+03 2.882000000000000000e+03 1.289332991204277801e-01
-1.665920690389038894e-03 1.317500611187056789e-03 3.466799999999999882e-01 3.472799999999999776e-01 2.889000000000000000e+03 2.894000000000000000e+03 4.303755494014712552e-02
6.556601113420629234e-04 -1.696937778252402551e-04 3.505199999999999982e-01 3.514800000000000146e-01 2.921000000000000000e+03 2.929000000000000000e+03 1.269022150109833380e-01
-1.363868853763702815e-03 2.448068386878655273e-03 3.561599999999999766e-01 3.569999999999999840e-01 2.968000000000000000e+03 2.975000000000000000e+03 7.956236550900284976e-02
-3.986826405739524182e-04 8.745119816427181919e-04 3.619200000000000195e-01 3.625200000000000089e-01 3.016000000000000000e+03 3.021000000000000000e+03 4.619841697280605008e-02
0.000000000000000000e+00 0.000000000000000000e+00 3.658799999999999830e-01 3.659999999999999920e-01 3.049000000000000000e+03 3.050000000000000000e+03 6.452360439871892249e-03
5.393660975107489319e-04 -2.222463371857365255e-05 3.672000000000000264e-01 3.676800000000000068e-01 3.060000000000000000e+03 3.064000000000000000e+03 4.246551563817148323e-02
-5.411589974776143119e-04 -8.631598448379830535e-05 3.689999999999999947e-01 3.693600000000000216e-01 3.075000000000000000e+03 3.078000000000000000e+03 2.302549380947149782e-02
-8.648414072243426620e-04 2.510944676938785605e-03 3.724799999999999778e-01 3.730800000000000227e-01 3.104000000000000000e+03 3.109000000000000000e+03 4.503250434538701164e-02
8.443436022227829296e-04 -1.333501381946648745e-04 3.800399999999999889e-01 3.808799999999999963e-01 3.167000000000000000e+03 3.174000000000000000e+03 7.880566349092792133e-02
-8.975079936468510766e-04 -1.465836593765474163e-03 3.883199999999999985e-01 3.892800000000000149e-01 3.236000000000000000e+03 3.244000000000000000e+03 6.915028431624463401e-02
-1.998064528544188367e-03 -1.252839143508146721e-03 3.968400000000000261e-01 3.976799999999999780e-01 3.307000000000000000e+03 3.314000000000000000e+03 7.785301457651212786e-02
3.627581097368909324e-04 7.138559142989241157e-04 3.988800000000000123e-01 3.994800000000000018e-01 3.324000000000000000e+03 3.329000000000000000e+03 5.442791238211668742e-02
-5.088512290366137281e-04 4.873637265415606268e-04 4.028399999999999759e-01 4.033200000000000118e-01 3.357000000000000000e+03 3.361000000000000000e+03 3.022766472713142236e-02
-2.345940845499702720e-03 2.818582766747007931e-03 4.046399999999999997e-01 4.056000000000000161e-01 3.372000000000000000e+03 3.380000000000000000e+03 8.181366930689276673e-02
3.646202470298620657e-03 -4.686917751937948184e-03 4.060799999999999965e-01 4.073999999999999844e-01 3.384000000000000000e+03 3.395000000000000000e+03 1.552722911404296746e-01
-1.239198335353158820e-03 -3.436328078383083656e-04 4.108800000000000230e-01 4.125599999999999823e-01 3.424000000000000000e+03 3.438000000000000000e+03 1.097834496266763271e-01
