# drho_hcp drho_bcc avalancheSize
3.474205334530189315e-04 -6.191382556211960653e-04 2.717128724035500903e-02
-1.723402693690034848e-03 -3.153766375192986610e-04 4.058591487429030753e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.927394151539274965e-03
1.567224792170807124e-04 1.342339220023677782e-04 2.985890156477986196e-02
-6.976787916070092965e-04 9.927929009427190199e-04 6.189386706583345499e-02
2.969219509745824048e-04 7.106780069397605759e-04 4.508514323318118383e-02
-2.753163216859810802e-04 -5.198597284679171843e-04 2.313409154784529589e-02
2.991732318495671228e-04 7.952650387396502374e-05 1.261522061546951554e-02
8.080736720608855395e-04 1.567657081109650324e-03 5.775112196109399160e-02
4.705857331471635652e-04 1.203167218721068812e-03 3.022825389414300276e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.555789907005291420e-03
-1.213190483695850141e-03 1.391910546785519315e-04 6.211314332131066818e-02
1.999419760637069499e-03 -4.643398161248910028e-04 6.533235817756585795e-02
1.137021727329490250e-03 -8.257929436730430256e-04 6.850862996201501076e-02
-1.538409166414372864e-03 1.039516954125479023e-03 6.105307969073903163e-02
-7.477438908299466336e-04 1.818292147190599117e-04 1.095057296238054340e-01
-1.053703251382501205e-03 1.603498786156860173e-04 1.136561795787001394e-01
1.116033293787468961e-03 -4.282268835694418713e-04 6.860596675971324110e-02
-6.631901358852415607e-04 1.086474062921682221e-03 1.256769908784566570e-01
-1.965370260452278806e-03 3.257558708059833663e-04 1.380250531894808286e-01
-1.549607248160916884e-04 3.835586515276521308e-04 2.126844200348349673e-02
-2.404195353165189397e-04 -2.482726062871080941e-04 4.924922404687580302e-02
1.200874710595989381e-04 -3.220906979914048285e-05 1.347222677478231156e-02
-2.194529152054300325e-03 9.755402359969082143e-04 9.900201502550873278e-02
-4.828975027857534963e-04 3.809039315424648381e-04 2.604377884678577698e-02
0.000000000000000000e+00 0.000000000000000000e+00 6.540107103936514642e-03
-1.750274886180555600e-03 4.857179053221558768e-04 6.117524445540147709e-02
-2.472304321866888865e-03 -2.778455000533815167e-03 1.671672633089681115e-01
-2.340767034833407534e-04 -4.501371318623107604e-04 1.633774539753752864e-01
1.426853047202109037e-04 -1.928679892364455750e-04 2.039086491730681891e-02
7.278702910587936392e-04 1.122853500348434605e-03 3.862657515961498422e-02
1.128457347356059959e-04 -6.051093845131708115e-04 3.290886799627843612e-02
-6.876153667460804808e-05 2.430103423087456860e-04 6.540837468229521168e-02
-2.269757441397679543e-05 2.044241709218130865e-04 7.547939741140448355e-02
7.963498832685850237e-04 6.049732681263925854e-04 4.466093895271042169e-02
-1.562004634138303150e-04 1.205694172202835535e-04 2.014460247553006428e-02
2.555875716780037221e-03 -3.791310619883150879e-04 9.191922079377840005e-02
-5.252186907777067759e-04 -1.050510203252381231e-03 7.939803815882827409e-02
1.593461704758325492e-04 -2.754962994073843763e-05 2.222600916656628303e-02
-3.934332628700437651e-04 -5.727349352204619271e-05 6.995682021164917330e-02
-1.054878893443911281e-04 9.141513365423792337e-04 8.001680410081665751e-02
9.024798971322689489e-04 -1.134336356698399662e-03 5.288390781165860227e-02
-8.128572300396263994e-05 -1.201092582581306939e-03 7.342027829784544823e-02
2.837273272471435570e-04 -2.324514610483989496e-04 2.106261190174625597e-02
-2.781259871055541399e-04 2.576958609440856141e-04 9.940029700691815906e-02
-1.992426440383110453e-04 1.589767273625815325e-04 2.850790587635131101e-02
5.904435076738295818e-04 -1.058889012881234631e-03 5.972142414808170180e-02
-2.454702072649111999e-04 -9.487633314724137901e-05 5.266649730365623172e-02
1.934384757990931236e-03 1.350457582764462774e-03 7.454791129588415888e-02
8.110415371843371357e-04 -1.468463116476529523e-04 2.363562527432327282e-02
-1.264197650751558433e-03 -1.189599219078345260e-03 1.480414025993152249e-01
-1.974819929523724538e-04 -4.286850405537426592e-03 1.786618777813469561e-01
-1.231833288949851779e-03 -6.502977733425785445e-04 5.315948865275733903e-02
4.199190584631834477e-04 -8.810381053858395983e-04 8.540005455071963958e-02
-2.663071598410921004e-03 1.409015646629659113e-03 5.983152053431314149e-02
-9.308828705496680067e-04 -2.147247834938482633e-03 7.679189606756266218e-02
-6.144548362615742665e-04 1.625093208129819999e-04 5.219758097258554719e-02
3.804008806534836529e-04 -1.859355548179888670e-03 8.368416376591342187e-02
-1.419730677153535625e-03 -1.316532853854022675e-03 5.998192901328523730e-02
2.227381112030579757e-03 -6.344185251272171921e-04 9.537601624929852029e-02
-1.255479704128717455e-03 -3.632374233673157926e-04 3.314341021210989030e-02
9.373616238374377074e-04 3.884983233323653640e-04 2.124133425646367729e-02
-5.606373740655590243e-04 -3.606616289039080853e-04 9.960328131045803612e-02
-1.154323311583882461e-03 1.095365018742855412e-04 4.878147642876139861e-02
-1.947972341501014171e-03 -4.363948365387823602e-04 1.428400813384455292e-01
-9.155738325316992166e-04 2.427546662304817804e-04 2.399611556948655008e-02
1.002767626892928088e-03 -1.853329419776556311e-03 1.407464578046026538e-01
1.026823668539789125e-03 -3.519829088034949482e-04 2.822145269760883979e-02
-4.214312737363806738e-04 4.824515333999059019e-05 4.084296936027472652e-02
-6.303445062990353787e-04 5.516897030377020117e-04 8.358710919652206917e-02
1.406072112094022830e-03 1.933140681329225535e-03 1.283206506692655680e-01
-7.369671073909067616e-04 -1.722083210839850040e-04 1.023333659242088162e-01
