# theta phi size
1.239398061938822906e+02 5.773958227647403163e+01 3.600000000000000000e+01
-5.887894690885072180e+01 8.275530594326686185e+01 2.000000000000000000e+00
-1.632693031425377228e+02 1.030534535811382852e+02 1.000000000000000000e+01
8.645249843851979676e+01 9.570905798388632491e+01 1.700000000000000000e+01
-6.064851332350502133e+01 1.197782646571921390e+02 3.600000000000000000e+01
-4.410738098057857570e+01 5.993884141010632760e+01 2.000000000000000000e+00
4.092551224777392349e+01 6.842265103998516906e+01 2.000000000000000000e+00
-4.625914662674564681e+01 1.186614861127650897e+02 2.000000000000000000e+00
-2.474339338803622468e+01 1.224514870790623036e+02 2.500000000000000000e+01
4.722437829392394804e+01 1.059217716679761168e+02 7.000000000000000000e+00
-1.789073332725521368e+02 9.018140252543867064e+01 3.000000000000000000e+00
-1.412729574119386200e+02 1.179875209431123579e+02 4.000000000000000000e+00
-1.308077812725461229e+02 4.711367270759490111e+01 7.000000000000000000e+00
5.229714013443432208e+01 8.665260269716404196e+01 4.000000000000000000e+00
1.361925179134896950e+02 6.164833507951775005e+01 3.000000000000000000e+00
1.402721327623485479e+02 5.954295821085673168e+01 2.000000000000000000e+00
-1.467438453671052798e+02 1.281358472838848002e+02 2.000000000000000000e+00
-5.209766968297144274e+01 1.298229015808976214e+02 6.000000000000000000e+00
1.108394338979678366e+02 5.659405655515675448e+01 3.000000000000000000e+01
5.031626513315907090e+01 1.142197872182607767e+02 2.000000000000000000e+00
1.348712084734999621e+02 9.554369022292868863e+01 2.000000000000000000e+00
-8.146833643968570016e+00 8.411000402817965949e+01 2.000000000000000000e+00
1.108386270923498103e+02 5.659341304490277480e+01 2.000000000000000000e+00
-1.405781663565742861e+02 6.624818871974511580e+01 3.000000000000000000e+00
5.571409689185613701e+01 5.497259625535718186e+01 3.000000000000000000e+00
-5.198499736383138981e+01 1.152628478745807143e+02 3.000000000000000000e+00
1.108806676784301999e+02 5.661375551785231863e+01 2.000000000000000000e+00
9.000000000000000000e+01 8.969732191043900116e+01 2.000000000000000000e+00
-1.657617186958558761e+02 1.219844730430781397e+02 1.800000000000000000e+01
5.489169218043674903e+01 9.122311257344740909e+01 6.000000000000000000e+00
5.030866433551344130e+01 1.142276256336907068e+02 2.000000000000000000e+00
1.141840728945860803e+02 6.409312878567934035e+01 2.000000000000000000e+00
-1.828887998187047259e+01 5.364496259019430369e+01 1.400000000000000000e+01
1.348661575979934355e+02 9.549396792615398510e+01 2.000000000000000000e+00
-1.331292273720600292e+02 1.193491620496954368e+02 3.000000000000000000e+00
1.286815554206902732e+02 5.388211827925033504e+01 2.000000000000000000e+00
1.334777529470742365e+02 1.219346204095684953e+02 1.000000000000000000e+01
-1.364528920903224307e+00 9.378852766279921127e+01 1.700000000000000000e+01
7.533270000084793594e+01 1.701587788377028403e+02 3.600000000000000000e+01
1.436099076985834415e+02 5.789205664539129259e+01 2.000000000000000000e+00
1.402753950314325095e+02 5.952898214489672313e+01 2.000000000000000000e+00
1.010940607711055890e+02 1.693301004215267369e+02 4.000000000000000000e+00
7.971056328923863532e+01 5.784698374698748324e+01 2.000000000000000000e+00
-1.431113451377734975e+02 6.152022235246266035e+01 3.000000000000000000e+00
-8.491919673053702411e+01 1.745434936150800525e+02 1.700000000000000000e+01
3.535133173762771719e+01 5.109843527951230868e+01 3.000000000000000000e+00
1.251214339185542883e+02 1.166339438832190289e+01 2.000000000000000000e+00
1.310909569783260622e+02 1.248576919720848792e+02 3.000000000000000000e+00
1.370425668173778888e+02 9.026131932777266798e+01 3.000000000000000000e+00
-8.840688327249489475e+01 1.608719513340243452e+02 2.300000000000000000e+01
1.472532388643866739e+02 1.427379775472631991e+02 2.200000000000000000e+01
-8.315878089413642371e+00 8.417237833006710446e+01 1.800000000000000000e+01
1.229460711206302364e+02 1.051590661521463090e+02 6.000000000000000000e+00
-9.000000000000000000e+01 3.616856843414718981e+01 3.300000000000000000e+01
-1.467668877328803774e+02 1.281203334595866181e+02 4.700000000000000000e+01
-1.438655420895861994e+02 6.098711800570826824e+01 8.000000000000000000e+00
-1.640547329004528194e+02 1.498411987042097415e+01 4.400000000000000000e+01
-9.371232621354847936e+01 1.643914245177895168e+02 1.600000000000000000e+01
5.568981724474237893e+01 5.496036013925542107e+01 3.000000000000000000e+00
-5.198737443339041420e+01 1.152694603300672895e+02 6.000000000000000000e+00
1.108798535857557397e+02 5.661310990921279540e+01 3.300000000000000000e+01
4.690364182720596631e+01 8.969611126437763460e+01 2.000000000000000000e+00
1.791588249076425257e+02 8.977833228117738429e+01 4.800000000000000000e+01
4.081098575952473340e+01 1.176967860088990392e+02 9.000000000000000000e+00
1.317277941267828965e+02 6.865568337276071986e+01 4.000000000000000000e+00
4.201621077663873649e+01 7.056831594981879618e+01 2.000000000000000000e+00
-5.209134384772966797e+01 1.298179484352984616e+02 2.000000000000000000e+00
1.444155732337999609e+02 1.188326654735173094e+02 4.000000000000000000e+00
9.000000000000000000e+01 8.969684136573332012e+01 9.000000000000000000e+00
-3.972786723765148054e+01 1.204570417891432612e+02 1.000000000000000000e+01
3.325615463289474860e+01 5.186415271611521405e+01 4.000000000000000000e+00
1.279023303170285573e+02 5.017709841910238566e+01 2.000000000000000000e+00
-6.916056610203216337e+01 1.234059434448432313e+02 2.000000000000000000e+00
-1.296837348668409504e+02 6.578021278173920905e+01 2.000000000000000000e+00
-4.512879152650004499e+01 8.445630977707133979e+01 2.000000000000000000e+00
