# theta phi size
-7.470917917579365053e+01 1.691016853778808979e+02 1.000000000000000000e+01
1.751202831089556753e+02 1.467858583343250132e+02 3.000000000000000000e+00
2.017608984029673369e+00 1.077662378812360373e+02 3.000000000000000000e+00
1.481177231388567463e+02 5.680281145244565266e+01 9.000000000000000000e+00
1.253734371891510619e+02 1.244299178389554896e+02 3.000000000000000000e+00
-1.338434489475682483e+02 4.460833353769548637e+01 2.000000000000000000e+00
9.772177531722061872e+01 1.773345491696299803e+02 1.700000000000000000e+01
-4.499989503750308728e+01 9.541775650637025308e+01 3.000000000000000000e+00
2.202078975839817332e+01 1.201520640698103222e+02 2.000000000000000000e+00
6.826873159240990674e+01 8.427318143724468769e+01 3.000000000000000000e+00
1.080247166701378205e+02 1.232741070237376135e+01 2.000000000000000000e+00
-1.068289740815715305e+02 1.038050304769280530e+01 1.700000000000000000e+01
4.342579881734693004e+01 7.258827047908759766e+01 2.000000000000000000e+00
1.554941500003976387e+02 1.675415984109306180e+02 2.000000000000000000e+00
3.184779141578693640e+01 6.963804387949167563e+01 3.000000000000000000e+00
-8.636414594633504294e+01 1.787324531199464843e+02 3.000000000000000000e+00
9.087179270368399386e+01 1.697337291508877399e+02 5.000000000000000000e+00
-1.033759524463584256e+01 9.985763287948795153e+01 2.000000000000000000e+00
-1.724361320832853153e+02 9.020147759150293609e+01 3.000000000000000000e+00
-1.425532590386121115e+02 1.185555675672947586e+02 6.000000000000000000e+00
-1.777674511479555122e+02 9.148687636576293869e+01 2.000000000000000000e+00
1.117336309624902526e+02 1.206122291388172698e+02 2.000000000000000000e+00
1.291319390617102272e+02 1.237338434699821335e+02 3.000000000000000000e+00
2.062373085379440951e+01 1.362740743935406442e+02 5.000000000000000000e+00
-4.532361378498977800e+00 1.231012354731561658e+02 5.000000000000000000e+00
1.653267276756052411e+02 8.154454266226836978e+01 2.000000000000000000e+00
1.052908208242063637e+02 1.089831462211908075e+01 2.000000000000000000e+00
-4.879716891044313165e+00 3.321414166567499393e+01 2.000000000000000000e+00
-1.779823910159703360e+02 7.223376211876397690e+01 2.000000000000000000e+00
