# time ep bcc_intrp hcp_intrp
1.585500000000000043e+01 8.427892277245152552e-02 5.337053861625423723e-01 6.999825324601438928e-03
1.586999999999999922e+01 8.361646259389138303e-02 5.299199784996029283e-01 8.149714620964497447e-03
1.588499999999999979e+01 8.290858359715813641e-02 5.253875627257865721e-01 9.395112646056798938e-03
1.590000000000000036e+01 8.227416991654690204e-02 5.201493180044827191e-01 1.073812917639348045e-02
1.591499999999999915e+01 8.170117091905304552e-02 5.142712557562537645e-01 1.218238188585909869e-02
1.592999999999999972e+01 8.108918142149879049e-02 5.078385983418632899e-01 1.373300315207652035e-02
1.594500000000000028e+01 8.048843783694378806e-02 5.009472179743745812e-01 1.539644638879128502e-02
1.596000000000000085e+01 8.002617437615003326e-02 4.936946625595144966e-01 1.717988005918965472e-02
1.597499999999999964e+01 7.966645431285016010e-02 4.861724306782917449e-01 1.909004053438930273e-02
1.599000000000000021e+01 7.926144269031309975e-02 4.784601118799654551e-01 2.113162677554169394e-02
1.600499999999999901e+01 7.877599481715520657e-02 4.706215337468202531e-01 2.330560422317858732e-02
1.601999999999999957e+01 7.833701421046307400e-02 4.627030612516637720e-01 2.560798388033769940e-02
1.603500000000000014e+01 7.805628686840085373e-02 4.547341552122948771e-01 2.802956255669918767e-02
1.605000000000000071e+01 7.788730578060637511e-02 4.467299369360107075e-01 3.055673217961627636e-02
1.606500000000000128e+01 7.765870855161188802e-02 4.386950652769360248e-01 3.317303989763248362e-02
1.607999999999999829e+01 7.741018698142899945e-02 4.306281034313441114e-01 3.586099964952495223e-02
1.609499999999999886e+01 7.726988156770697724e-02 4.225257873376432882e-01 3.860376550447614658e-02
1.610999999999999943e+01 7.720634524767502893e-02 4.143869078497183778e-01 4.138648782539016552e-02
1.612500000000000000e+01 7.712413022029004916e-02 4.062156119349646377e-01 4.419729885579700562e-02
1.614000000000000057e+01 7.711341705189772577e-02 3.980238303210897888e-01 4.702788601649877248e-02
1.615500000000000114e+01 7.730827858264137376e-02 3.898324933974721684e-01 4.987360353346912550e-02
1.617000000000000171e+01 7.755135796453763164e-02 3.816713841300654608e-01 5.273313018332799473e-02
1.618499999999999872e+01 7.761837749932626318e-02 3.735777911678376251e-01 5.560778213505233880e-02
1.619999999999999929e+01 7.758797997511851507e-02 3.655943015673002727e-01 5.850064717888821264e-02
1.621499999999999986e+01 7.763623682270005821e-02 3.577660220417782644e-01 6.141568004703127498e-02
1.623000000000000043e+01 7.778799734247260345e-02 3.501374375787193460e-01 6.435683746238532454e-02
1.624500000000000099e+01 7.797661594062732515e-02 3.427492449999740565e-01 6.732730718414357829e-02
1.626000000000000156e+01 7.819180997023866819e-02 3.356358067310941107e-01 7.032891153163874087e-02
1.627499999999999858e+01 7.849061625184169944e-02 3.288239991189161882e-01 7.336178727927368526e-02
1.628999999999999915e+01 7.885365383230574787e-02 3.223338157655628589e-01 7.642439682929488831e-02
1.630499999999999972e+01 7.912018591596317596e-02 3.161802153492278000e-01 7.951381591132579418e-02
1.632000000000000028e+01 7.926131467506224160e-02 3.103749350603976498e-01 8.262614859581507432e-02
1.633500000000000085e+01 7.943026451046247827e-02 3.049268414228527013e-01 8.575690731940213696e-02
1.635000000000000142e+01 7.964482032073408324e-02 2.998399420441449914e-01 8.890125613146844519e-02
1.636499999999999844e+01 7.982826720489233363e-02 2.951092027933817086e-01 9.205409640674754035e-02
1.637999999999999901e+01 8.003427472698362855e-02 2.907154504507628023e-01 9.521003554177033534e-02
1.639499999999999957e+01 8.031547194023538894e-02 2.866213738175631409e-01 9.836331138214800263e-02
1.641000000000000014e+01 8.056824538170215266e-02 2.827704264366778797e-01 1.015077564705967050e-01
1.642500000000000071e+01 8.079983058662212891e-02 2.790892847531241117e-01 1.046368897173722695e-01
1.644000000000000128e+01 8.106153535585125525e-02 2.754932320840335902e-01 1.077442296064105715e-01
1.645499999999999829e+01 8.130913062573677519e-02 2.718933010711663267e-01 1.108239288827552183e-01
1.646999999999999886e+01 8.155549979627857438e-02 2.682042509704348210e-01 1.138718060934703902e-01
1.648499999999999943e+01 8.187283119038449297e-02 2.643527544019989017e-01 1.168867501549789439e-01
1.650000000000000000e+01 8.225859078579661476e-02 2.602849232431874715e-01 1.198722889520096174e-01
1.651500000000000057e+01 8.257302830608985456e-02 2.559717167647891922e-01 1.228379203658283708e-01
1.653000000000000114e+01 8.273951582105759650e-02 2.514106823698241122e-01 1.257997556564586228e-01
1.654500000000000171e+01 8.291636968672402852e-02 2.466234318023542982e-01 1.287802013684601621e-01
1.655999999999999872e+01 8.321929643142214617e-02 2.416497521611727095e-01 1.318066855455118369e-01
1.657499999999999929e+01 8.354966695040270952e-02 2.365401770521905200e-01 1.349095972434947999e-01
1.658999999999999986e+01 8.383669816089693583e-02 2.313486813496443695e-01 1.381195945347262477e-01
1.660500000000000043e+01 8.414606111421890633e-02 2.261264064185198874e-01 1.414644197069213072e-01
1.662000000000000099e+01 8.457140812799598950e-02 2.209167511980471010e-01 1.449655424738649501e-01
1.663500000000000156e+01 8.507310670777396000e-02 2.157520653880171946e-01 1.486352946783401630e-01
1.664999999999999858e+01 8.556633732705204443e-02 2.106522539552507511e-01 1.524753316615549970e-01
1.666499999999999915e+01 8.606638257262300140e-02 2.056254198444724957e-01 1.564769246414314252e-01
1.667999999999999972e+01 8.663347754890982078e-02 2.006701881700080625e-01 1.606228447804914639e-01
1.669500000000000028e+01 8.721515808368339451e-02 1.957789403323514643e-01 1.648899583323819029e-01
1.671000000000000085e+01 8.770790080241386288e-02 1.909411632721692009e-01 1.692515368780864171e-01
1.672500000000000142e+01 8.810955796467762058e-02 1.861464163342071154e-01 1.736786502531720289e-01
1.673999999999999844e+01 8.851924237179223387e-02 1.813867283254276264e-01 1.781405178648735599e-01
1.675499999999999901e+01 8.898123549556412326e-02 1.766583616389708344e-01 1.826040849632824814e-01
1.676999999999999957e+01 8.944939529735608519e-02 1.719628597631975564e-01 1.870332844648454618e-01
1.678500000000000014e+01 8.989684837539368978e-02 1.673072892709403514e-01 1.913884674732558022e-01
1.680000000000000071e+01 9.035221755602618199e-02 1.627036780392313864e-01 1.956264131462838451e-01
1.681500000000000128e+01 9.081820405963389464e-02 1.581677616046198165e-01 1.997012620924254744e-01
1.682999999999999829e+01 9.129093715635544504e-02 1.537171713584861987e-01 2.035666963219790737e-01
1.684499999999999886e+01 9.171391188673341799e-02 1.493691560464793511e-01 2.071796005991916045e-01
1.685999999999999943e+01 9.200275338850177897e-02 1.451379667990292943e-01 2.105050746097137382e-01
1.687500000000000000e+01 9.224385934575984880e-02 1.410322485501163958e-01 2.135219515720109817e-01
1.689000000000000057e+01 9.251520839579643884e-02 1.370530540719561985e-01 2.162272462455973598e-01
1.690500000000000114e+01 9.280910153619813252e-02 1.331931529937873115e-01 2.186378575114309997e-01
1.692000000000000171e+01 9.317363004625391076e-02 1.294379831987140517e-01 2.207887451454851324e-01
1.693499999999999872e+01 9.358898823901048991e-02 1.257680807948346191e-01 2.227281737337729051e-01
1.694999999999999929e+01 9.398513269518546376e-02 1.221625148507828884e-01 2.245114762683843024e-01
1.696499999999999986e+01 9.433277843181135658e-02 1.186028908054517494e-01 2.261946957577347928e-01
1.698000000000000043e+01 9.463758966853966226e-02 1.150776389542473854e-01 2.278288668761645208e-01
1.699500000000000099e+01 9.495088217680128229e-02 1.115862585164724974e-01 2.294552944965973229e-01
1.701000000000000156e+01 9.525054913612179819e-02 1.081429036033674657e-01 2.311022022311952084e-01
1.702499999999999858e+01 9.552279036744928953e-02 1.047784673011787765e-01 2.327832385279193506e-01
1.703999999999999915e+01 9.579455300650965843e-02 1.015404617942279736e-01 2.344981123279304969e-01
1.705499999999999972e+01 9.602866401285861664e-02 9.849044794007638659e-02 2.362350712588546231e-01
1.707000000000000028e+01 9.619389485531096295e-02 9.569912702982483199e-02 2.379744589680307387e-01
1.708500000000000085e+01 9.629764749712169114e-02 9.323923623181834541e-02 2.396925468435349427e-01
1.710000000000000142e+01 9.635882471746957945e-02 9.117639498617551019e-02 2.413651280431139690e-01
1.711499999999999844e+01 9.641962280338522984e-02 8.955857786296123058e-02 2.429706256542780995e-01
1.712999999999999901e+01 9.644350087179826003e-02 8.840602596905247634e-02 2.444924938284918359e-01
1.714499999999999957e+01 9.642441505082507969e-02 8.770437261854126254e-02 2.459205981328251578e-01
1.716000000000000014e+01 9.648415343475763573e-02 8.740341088494962829e-02 2.472513215734857550e-01
1.717500000000000071e+01 9.660559148176145472e-02 8.742205715224965479e-02 2.484864590159418241e-01
1.719000000000000128e+01 9.673558322379850749e-02 8.765794196257278847e-02 2.496313307441680451e-01
1.720499999999999829e+01 9.696277951231163650e-02 8.799920302011807194e-02 2.506926846472395387e-01
1.721999999999999886e+01 9.721776895063535817e-02 8.833661186607635885e-02 2.516768145058124739e-01
1.723499999999999943e+01 9.732581818318014610e-02 8.857499985531123998e-02 2.525880771767799460e-01
1.725000000000000000e+01 9.736733400306116226e-02 8.864305222343858703e-02 2.534278272160883083e-01
1.726500000000000057e+01 9.749735569073782193e-02 8.850003127417412074e-02 2.541937501204331595e-01
1.728000000000000114e+01 9.766445268586890216e-02 8.813787944513229444e-02 2.548796059580213935e-01
1.729500000000000171e+01 9.776052414635293120e-02 8.757815939132128358e-02 2.554754294711068519e-01
1.730999999999999872e+01 9.779544028660847044e-02 8.686489996385965418e-02 2.559682608966211137e-01
