# ezz df
3.203693947751602988e-01 2.161951338225406971e+00
3.253673572521518786e-01 2.178715296106763510e+00
3.303653197291434584e-01 2.162666853800110811e+00
3.353632822061350383e-01 2.229814347792401730e+00
3.403612446831266181e-01 2.176467738837219557e+00
3.453592071601181979e-01 2.215666134080621852e+00
3.503571696371097777e-01 2.205927548376031222e+00
3.553551321141013575e-01 2.135992403434255671e+00
3.603530945910929373e-01 2.257881713176183691e+00
3.653510570680845171e-01 0.000000000000000000e+00
3.703490195450760969e-01 2.243154126428858142e+00
3.753469820220676767e-01 2.215657025684995229e+00
3.803449444990592565e-01 2.241662993125656200e+00
3.853429069760508363e-01 2.228093437313549252e+00
3.903408694530424161e-01 2.185461450115409932e+00
3.953388319300339959e-01 2.182861678572035391e+00
4.003367944070255757e-01 2.252726224207619143e+00
4.053347568840171555e-01 2.220252237790300676e+00
4.103327193610087353e-01 2.248896878058528337e+00
4.153306818380003151e-01 2.305830880019730245e+00
4.203286443149918949e-01 2.310979731509244406e+00
4.253266067919834748e-01 2.284793289532370153e+00
4.303245692689750546e-01 2.281982414524708513e+00
4.353225317459666344e-01 2.308175524508077725e+00
4.403204942229582142e-01 2.295889988466971232e+00
4.453184566999497940e-01 2.243146969033845473e+00
4.503164191769413738e-01 2.232257179033059646e+00
4.553143816539329536e-01 2.258607742688333531e+00
4.603123441309245334e-01 2.240209959484717128e+00
4.653103066079161132e-01 2.257915498447022884e+00
4.703082690849076930e-01 2.267408558763421400e+00
4.753062315618992728e-01 2.330101330900211654e+00
4.803041940388908526e-01 2.310584244016486988e+00
4.853021565158824324e-01 2.350035406078226696e+00
4.903001189928740122e-01 0.000000000000000000e+00
4.952980814698655920e-01 2.357968293105862756e+00
5.002960439468571163e-01 2.370401327760735199e+00
5.052940064238486961e-01 2.354337212640528865e+00
5.102919689008402759e-01 2.355879383861019694e+00
5.152899313778318557e-01 2.378217350514066020e+00
5.202878938548234355e-01 2.308423476691322751e+00
5.252858563318150154e-01 2.366711463231737422e+00
5.302838188088065952e-01 2.335964024447348741e+00
5.352817812857981750e-01 2.329957222165814024e+00
5.402797437627897548e-01 2.287997932152063374e+00
5.452777062397813346e-01 2.330607099761861090e+00
5.502756687167729144e-01 2.331687756696283476e+00
5.552736311937644942e-01 2.311367782685965100e+00
5.602715936707560740e-01 2.359476386886311783e+00
5.652695561477476538e-01 2.401051634253076994e+00
5.702675186247392336e-01 2.382708299745400993e+00
5.752654811017308134e-01 2.510331482225609090e+00
5.802634435787223932e-01 2.477905709712048044e+00
5.852614060557139730e-01 2.414058677244391493e+00
5.902593685327055528e-01 2.541704502781811037e+00
5.952573310096971326e-01 2.563485432833152444e+00
