# itime ezz other fcc hcp bcc cubicDiamond hexDiamond
2.410000000000000000e+06 1.204508956954970789e-01 2.896886446886446920e-01 4.835164835164835195e-01 2.267948717948717885e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.510000000000000000e+06 1.254488581724886587e-01 2.765934065934065877e-01 4.993589743589743613e-01 2.240476190476190510e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.610000000000000000e+06 1.304468206494802385e-01 2.902014652014652252e-01 4.858241758241758079e-01 2.239743589743589669e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.710000000000000000e+06 1.354447831264718183e-01 2.984981684981685146e-01 4.921611721611721668e-01 2.093406593406593463e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.810000000000000000e+06 1.404427456034633981e-01 2.969597069597069705e-01 4.832967032967033227e-01 2.197435897435897345e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.910000000000000000e+06 1.454407080804549779e-01 3.023626373626373542e-01 4.912454212454212543e-01 2.063919413919413914e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.010000000000000000e+06 1.504386705574465577e-01 3.052380952380952528e-01 4.878021978021978011e-01 2.069597069597069461e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.110000000000000000e+06 1.554366330344381375e-01 3.124542124542124544e-01 4.818315018315018072e-01 2.057142857142857106e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.210000000000000000e+06 1.604345955114297173e-01 3.079304029304029133e-01 4.728937728937728791e-01 2.191758241758241799e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.310000000000000000e+06 1.654325579884212971e-01 3.178388278388278310e-01 4.548168498168498330e-01 2.273443223443223360e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.410000000000000000e+06 1.704305204654128769e-01 3.182417582417582658e-01 4.485164835164835440e-01 2.332417582417582458e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
