# itime ezz other fcc hcp bcc ico
5.400000000000000000e+02 2.159990401335478705e-01 8.760810195721437932e-01 2.218934911242603433e-02 3.356850250341374825e-02 6.816112881201638607e-02 0.000000000000000000e+00
5.700000000000000000e+02 2.279989868076337522e-01 8.982703686845698865e-01 1.934456076467910846e-02 3.026854802002730896e-02 5.211652253072371344e-02 0.000000000000000000e+00
6.000000000000000000e+02 2.399989334817198561e-01 9.089667728720982609e-01 1.957214383249886169e-02 3.265817023213472836e-02 3.880291306326809353e-02 0.000000000000000000e+00
6.300000000000000000e+02 2.519988801558057379e-01 9.208010923987255403e-01 1.775147928994082885e-02 3.322712790168411146e-02 2.822030040964952288e-02 0.000000000000000000e+00
6.600000000000000000e+02 2.639988268298918417e-01 9.360491579426490905e-01 1.490669094219390124e-02 2.822030040964952288e-02 2.082385070550751144e-02 0.000000000000000000e+00
6.900000000000000000e+02 2.759987735039777235e-01 9.427628584433318526e-01 1.479289940828402289e-02 2.503413746017296368e-02 1.741010468821119553e-02 0.000000000000000000e+00
7.200000000000000000e+02 2.879987201780638273e-01 9.494765589440146147e-01 1.160673645880746542e-02 2.469276285844333035e-02 1.411015020482476144e-02 1.137915339098771066e-04
7.500000000000000000e+02 2.999986668521497091e-01 9.532316795630405570e-01 1.081019572143832562e-02 2.355484751934456070e-02 1.217569412835685025e-02 2.275830678197542133e-04
7.800000000000000000e+02 3.119986135262358129e-01 9.610832954028220021e-01 9.558488848429677609e-03 1.979972690031861493e-02 9.444697314519799256e-03 1.137915339098771066e-04
8.100000000000000000e+02 3.239985602003216947e-01 9.663177059626764098e-01 9.558488848429677609e-03 1.627218934911242587e-02 7.510241238051888930e-03 3.413746017296313199e-04
8.400000000000000000e+02 3.359985068744077985e-01 9.680245789713245452e-01 8.761948111060537808e-03 1.536185707783340945e-02 7.737824305871643035e-03 1.137915339098771066e-04
8.700000000000000000e+02 3.479984535484936803e-01 9.726900318616295005e-01 8.192990441511151245e-03 1.274465179790623508e-02 6.258534365043240920e-03 1.137915339098771066e-04
9.000000000000000000e+02 3.599984002225797841e-01 9.748520710059171979e-01 7.851615839781519654e-03 1.081019572143832562e-02 6.372325898953117539e-03 1.137915339098771066e-04
9.300000000000000000e+02 3.719983468966658879e-01 9.779244424214837972e-01 7.282658170232134826e-03 9.672280382339554228e-03 4.779244424214838804e-03 3.413746017296313199e-04
9.600000000000000000e+02 3.839982935707519918e-01 9.799726900318616041e-01 6.599908966772872511e-03 1.001365498406918582e-02 3.072371415566681717e-03 3.413746017296313199e-04
9.900000000000000000e+02 3.959982402448378735e-01 9.819071461083295205e-01 5.917159763313609329e-03 8.079198907601274626e-03 3.641329085116067413e-03 4.551661356395084266e-04
1.020000000000000000e+03 4.079981869189239774e-01 9.813381884387801790e-01 6.599908966772872511e-03 9.103322712790167665e-03 2.275830678197541916e-03 6.827492034592626399e-04
1.050000000000000000e+03 4.199981335930098592e-01 9.856622667273554628e-01 4.893035958124715423e-03 6.486117432862995025e-03 2.617205279927173507e-03 3.413746017296313199e-04
1.080000000000000000e+03 4.319980802670959630e-01 9.860036413290851343e-01 5.234410559854347014e-03 6.713700500682749130e-03 1.934456076467910759e-03 1.137915339098771066e-04
1.110000000000000000e+03 4.439980269411818448e-01 9.862312243969049153e-01 4.324078288575329727e-03 7.055075102412380721e-03 1.934456076467910759e-03 4.551661356395084266e-04
1.140000000000000000e+03 4.559979736152679486e-01 9.882794720072826111e-01 3.299954483386436255e-03 6.030951297223486815e-03 1.365498406918525280e-03 1.024123805188893906e-03
